"",BBK01.OEAD37T,BBK01.OEAD37T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:26,
2002-01,0.063,
2002-04,0.066,
2002-07,0.066,
2002-10,0.068,
2003-01,0.071,
2003-04,0.072,
2003-07,0.070,
2003-10,0.068,
2004-01,0.067,
2004-04,0.070,
2004-07,0.071,
2004-10,0.069,
2005-01,0.067,
2005-04,0.066,
2005-07,0.062,
2005-10,0.059,
2006-01,0.063,
2006-04,0.062,
2006-07,0.063,
2006-10,0.066,
2007-01,0.066,
2007-04,0.063,
2007-07,0.067,
2007-10,0.066,
2008-01,0.070,
2008-04,0.070,
2008-07,0.070,
2008-10,0.066,
2009-01,0.058,
2009-04,0.058,
2009-07,0.054,
2009-10,0.048,
2010-01,0.059,
2010-04,0.064,
2010-07,0.066,
2010-10,0.063,
2011-01,0.060,
2011-04,0.060,
2011-07,0.058,
2011-10,0.079,
2012-01,0.086,
2012-04,0.091,
2012-07,0.096,
2012-10,0.104,
2013-01,0.107,
2013-04,0.107,
2013-07,0.104,
2013-10,0.099,
2014-01,0.094,
2014-04,0.092,
2014-07,0.091,
