"",BBK01.WT4139,BBK01.WT4139_FLAGS
"","DE0001135473 / Prices / 1,750 Bund 12/22",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:38:07,
2012-04-11,99.870,
2012-04-12,99.830,
2012-04-13,100.080,
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,100.260,
2012-04-17,99.930,
2012-04-18,99.960,
2012-04-19,100.240,
2012-04-20,100.560,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,100.690,
2012-04-24,100.700,
2012-04-25,100.220,
2012-04-26,100.270,
2012-04-27,100.730,
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,100.580,
2012-05-01,.,No value available
2012-05-02,100.900,
2012-05-03,101.260,
2012-05-04,101.270,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,101.660,
2012-05-08,101.650,
2012-05-09,101.990,
2012-05-10,102.290,
2012-05-11,102.030,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,102.800,
2012-05-15,102.500,
2012-05-16,102.670,
2012-05-17,102.700,
2012-05-18,103.180,
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,102.740,
2012-05-22,102.680,
2012-05-23,102.880,
2012-05-24,103.550,
2012-05-25,103.240,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,103.460,
2012-05-29,103.600,
2012-05-30,104.040,
2012-05-31,104.330,
2012-06-01,105.670,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,105.350,
2012-06-05,105.390,
2012-06-06,104.630,
2012-06-07,103.560,
2012-06-08,104.160,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,103.310,
2012-06-12,103.640,
2012-06-13,102.240,
2012-06-14,102.360,
2012-06-15,102.380,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,102.930,
2012-06-19,102.600,
2012-06-20,101.450,
2012-06-21,101.450,
2012-06-22,101.990,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,102.110,
2012-06-26,102.340,
2012-06-27,102.000,
2012-06-28,102.080,
2012-06-29,101.360,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,101.420,
2012-07-03,101.950,
2012-07-04,102.270,
2012-07-05,102.690,
2012-07-06,103.490,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,104.130,
2012-07-10,103.810,
2012-07-11,104.000,
2012-07-12,104.660,
2012-07-13,104.760,
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,104.720,
2012-07-17,104.610,
2012-07-18,105.070,
2012-07-19,105.100,
2012-07-20,105.150,
2012-07-21,.,No value available
2012-07-22,.,No value available
2012-07-23,105.810,
2012-07-24,104.560,
2012-07-25,104.570,
2012-07-26,104.820,
2012-07-27,104.090,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,103.540,
2012-07-31,103.690,
2012-08-01,103.800,
2012-08-02,103.450,
2012-08-03,104.260,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,103.380,
2012-08-07,103.180,
2012-08-08,102.840,
2012-08-09,102.790,
2012-08-10,103.270,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,103.240,
2012-08-14,102.980,
2012-08-15,102.230,
2012-08-16,101.800,
2012-08-17,101.850,
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,101.700,
2012-08-21,101.890,
2012-08-22,102.060,
2012-08-23,103.150,
2012-08-24,103.620,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,103.730,
2012-08-28,103.580,
2012-08-29,104.090,
2012-08-30,103.610,
2012-08-31,103.650,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,103.790,
2012-09-04,103.090,
2012-09-05,103.480,
2012-09-06,102.470,
2012-09-07,101.750,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,102.410,
2012-09-11,102.390,
2012-09-12,101.610,
2012-09-13,101.710,
2012-09-14,101.480,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,100.970,
2012-09-18,101.060,
2012-09-19,101.400,
2012-09-20,101.790,
2012-09-21,101.450,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,102.060,
2012-09-25,102.400,
2012-09-26,102.380,
2012-09-27,102.960,
2012-09-28,102.970,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,102.680,
2012-10-02,102.770,
2012-10-03,102.940,
2012-10-04,103.130,
2012-10-05,102.880,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,102.680,
2012-10-09,102.740,
2012-10-10,102.720,
2012-10-11,102.880,
2012-10-12,102.730,
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,102.880,
2012-10-16,102.690,
2012-10-17,101.830,
2012-10-18,101.270,
2012-10-19,101.560,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,101.630,
2012-10-23,101.710,
2012-10-24,102.030,
2012-10-25,101.560,
2012-10-26,102.180,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,102.690,
2012-10-30,102.720,
2012-10-31,102.490,
2012-11-01,102.850,
2012-11-02,102.960,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,103.250,
2012-11-06,103.130,
2012-11-07,103.210,
2012-11-08,103.750,
2012-11-09,104.080,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,104.020,
2012-11-13,104.220,
2012-11-14,103.870,
2012-11-15,104.130,
2012-11-16,104.070,
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,103.980,
2012-11-20,103.820,
2012-11-21,103.440,
2012-11-22,103.130,
2012-11-23,103.300,
2012-11-24,.,No value available
2012-11-25,.,No value available
2012-11-26,103.320,
2012-11-27,103.220,
2012-11-28,103.540,
2012-11-29,103.670,
2012-11-30,103.790,
2012-12-01,.,No value available
2012-12-02,.,No value available
2012-12-03,103.730,
2012-12-04,103.330,
2012-12-05,103.830,
2012-12-06,103.990,
2012-12-07,104.360,
2012-12-08,.,No value available
2012-12-09,.,No value available
2012-12-10,104.710,
2012-12-11,104.280,
2012-12-12,104.010,
2012-12-13,104.250,
2012-12-14,103.950,
2012-12-15,.,No value available
2012-12-16,.,No value available
2012-12-17,103.750,
2012-12-18,103.680,
2012-12-19,103.240,
2012-12-20,103.410,
2012-12-21,103.540,
2012-12-22,.,No value available
2012-12-23,.,No value available
2012-12-24,.,No value available
2012-12-25,.,No value available
2012-12-26,.,No value available
2012-12-27,103.720,
2012-12-28,104.340,
2012-12-29,.,No value available
2012-12-30,.,No value available
2012-12-31,.,No value available
2013-01-01,.,No value available
2013-01-02,103.150,
2013-01-03,103.120,
2013-01-04,102.380,
2013-01-05,.,No value available
2013-01-06,.,No value available
2013-01-07,102.320,
2013-01-08,102.440,
2013-01-09,102.610,
2013-01-10,103.150,
2013-01-11,101.990,
2013-01-12,.,No value available
2013-01-13,.,No value available
2013-01-14,101.940,
2013-01-15,102.170,
2013-01-16,102.450,
2013-01-17,102.170,
2013-01-18,102.160,
2013-01-19,.,No value available
2013-01-20,.,No value available
2013-01-21,102.240,
2013-01-22,102.030,
2013-01-23,102.390,
2013-01-24,102.910,
2013-01-25,102.210,
2013-01-26,.,No value available
2013-01-27,.,No value available
2013-01-28,101.690,
2013-01-29,101.460,
2013-01-30,101.160,
2013-01-31,101.450,
2013-02-01,101.270,
2013-02-02,.,No value available
2013-02-03,.,No value available
2013-02-04,101.240,
2013-02-05,101.810,
2013-02-06,101.800,
2013-02-07,101.640,
2013-02-08,102.120,
2013-02-09,.,No value available
2013-02-10,.,No value available
2013-02-11,101.940,
2013-02-12,102.080,
2013-02-13,101.550,
2013-02-14,101.600,
2013-02-15,101.940,
2013-02-16,.,No value available
2013-02-17,.,No value available
2013-02-18,101.940,
2013-02-19,101.880,
2013-02-20,101.680,
2013-02-21,102.140,
2013-02-22,102.270,
2013-02-23,.,No value available
2013-02-24,.,No value available
2013-02-25,102.460,
2013-02-26,103.210,
2013-02-27,103.510,
2013-02-28,103.450,
2013-03-01,103.640,
2013-03-02,.,No value available
2013-03-03,.,No value available
2013-03-04,103.860,
2013-03-05,103.550,
2013-03-06,103.360,
2013-03-07,103.410,
2013-03-08,103.180,
2013-03-09,.,No value available
2013-03-10,.,No value available
2013-03-11,103.150,
2013-03-12,103.280,
2013-03-13,103.380,
2013-03-14,103.240,
2013-03-15,103.370,
2013-03-16,.,No value available
2013-03-17,.,No value available
2013-03-18,104.040,
2013-03-19,104.190,
2013-03-20,104.260,
2013-03-21,104.140,
2013-03-22,104.510,
2013-03-23,.,No value available
2013-03-24,.,No value available
2013-03-25,104.040,
2013-03-26,104.460,
2013-03-27,104.960,
2013-03-28,105.300,
2013-03-29,.,No value available
2013-03-30,.,No value available
2013-03-31,.,No value available
2013-04-01,.,No value available
2013-04-02,105.000,
2013-04-03,104.810,
2013-04-04,105.050,
2013-04-05,105.330,
2013-04-06,.,No value available
2013-04-07,.,No value available
2013-04-08,105.610,
2013-04-09,105.100,
2013-04-10,104.930,
2013-04-11,104.730,
2013-04-12,105.170,
2013-04-13,.,No value available
2013-04-14,.,No value available
2013-04-15,105.140,
2013-04-16,105.240,
2013-04-17,104.970,
2013-04-18,105.440,
2013-04-19,105.390,
2013-04-20,.,No value available
2013-04-21,.,No value available
2013-04-22,105.250,
2013-04-23,105.780,
2013-04-24,105.210,
2013-04-25,105.430,
2013-04-26,105.560,
2013-04-27,.,No value available
2013-04-28,.,No value available
2013-04-29,105.670,
2013-04-30,105.760,
2013-05-01,.,No value available
2013-05-02,105.680,
2013-05-03,105.860,
2013-05-04,.,No value available
2013-05-05,.,No value available
2013-05-06,105.370,
2013-05-07,105.130,
2013-05-08,104.960,
2013-05-09,105.320,
2013-05-10,104.600,
2013-05-11,.,No value available
2013-05-12,.,No value available
2013-05-13,104.360,
2013-05-14,104.390,
2013-05-15,104.350,
2013-05-16,104.180,
2013-05-17,104.870,
2013-05-18,.,No value available
2013-05-19,.,No value available
2013-05-20,104.320,
2013-05-21,104.270,
2013-05-22,104.190,
2013-05-23,104.250,
2013-05-24,103.780,
2013-05-25,.,No value available
2013-05-26,.,No value available
2013-05-27,103.940,
2013-05-28,103.770,
2013-05-29,103.270,
2013-05-30,103.350,
2013-05-31,103.700,
2013-06-01,.,No value available
2013-06-02,.,No value available
2013-06-03,103.220,
2013-06-04,102.920,
2013-06-05,103.000,
2013-06-06,103.460,
2013-06-07,103.470,
2013-06-08,.,No value available
2013-06-09,.,No value available
2013-06-10,103.190,
2013-06-11,102.340,
2013-06-12,102.500,
2013-06-13,102.900,
2013-06-14,103.190,
2013-06-15,.,No value available
2013-06-16,.,No value available
2013-06-17,103.180,
2013-06-18,103.050,
2013-06-19,103.020,
2013-06-20,102.310,
2013-06-21,102.020,
2013-06-22,.,No value available
2013-06-23,.,No value available
2013-06-24,100.930,
2013-06-25,101.260,
2013-06-26,101.200,
2013-06-27,101.410,
2013-06-28,101.750,
2013-06-29,.,No value available
2013-06-30,.,No value available
2013-07-01,101.330,
2013-07-02,101.750,
2013-07-03,102.180,
2013-07-04,102.000,
2013-07-05,102.090,
2013-07-06,.,No value available
2013-07-07,.,No value available
2013-07-08,101.710,
2013-07-09,101.940,
2013-07-10,102.420,
2013-07-11,102.650,
2013-07-12,102.950,
2013-07-13,.,No value available
2013-07-14,.,No value available
2013-07-15,102.960,
2013-07-16,103.070,
2013-07-17,102.990,
2013-07-18,103.400,
2013-07-19,103.500,
2013-07-20,.,No value available
2013-07-21,.,No value available
2013-07-22,103.390,
2013-07-23,103.210,
2013-07-24,102.780,
2013-07-25,102.380,
2013-07-26,102.190,
2013-07-27,.,No value available
2013-07-28,.,No value available
2013-07-29,102.070,
2013-07-30,102.190,
2013-07-31,101.920,
2013-08-01,102.590,
2013-08-02,101.780,
2013-08-03,.,No value available
2013-08-04,.,No value available
2013-08-05,102.370,
2013-08-06,101.860,
2013-08-07,102.040,
2013-08-08,102.100,
2013-08-09,101.860,
2013-08-10,.,No value available
2013-08-11,.,No value available
2013-08-12,101.730,
2013-08-13,101.310,
2013-08-14,101.000,
2013-08-15,100.900,
2013-08-16,100.430,
2013-08-17,.,No value available
2013-08-18,.,No value available
2013-08-19,100.370,
2013-08-20,100.520,
2013-08-21,100.550,
2013-08-22,99.940,
2013-08-23,99.870,
2013-08-24,.,No value available
2013-08-25,.,No value available
2013-08-26,100.070,
2013-08-27,100.480,
2013-08-28,100.800,
2013-08-29,100.510,
2013-08-30,100.750,
2013-08-31,.,No value available
2013-09-01,.,No value available
2013-09-02,100.090,
2013-09-03,100.300,
2013-09-04,99.970,
2013-09-05,99.590,
2013-09-06,99.270,
2013-09-07,.,No value available
2013-09-08,.,No value available
2013-09-09,99.780,
2013-09-10,99.430,
2013-09-11,99.310,
2013-09-12,99.690,
2013-09-13,99.760,
2013-09-14,.,No value available
2013-09-15,.,No value available
2013-09-16,100.350,
2013-09-17,100.340,
2013-09-18,100.070,
2013-09-19,100.780,
2013-09-20,100.590,
2013-09-21,.,No value available
2013-09-22,.,No value available
2013-09-23,100.330,
2013-09-24,100.880,
