"",BBK01.OEBJ05K,BBK01.OEBJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:31,
2002-01,1.817,
2002-04,1.864,
2002-07,1.921,
2002-10,1.867,
2003-01,1.853,
2003-04,1.865,
2003-07,1.820,
2003-10,2.146,
2004-01,1.921,
2004-04,1.943,
2004-07,1.836,
2004-10,1.852,
2005-01,0.976,
2005-04,0.962,
2005-07,0.896,
2005-10,0.888,
2006-01,0.847,
2006-04,1.096,
2006-07,1.113,
2006-10,1.154,
2007-01,1.167,
2007-04,1.276,
2007-07,1.392,
2007-10,1.388,
2008-01,1.513,
2008-04,1.670,
2008-07,1.707,
2008-10,1.843,
2009-01,1.589,
2009-04,1.702,
2009-07,1.543,
2009-10,1.638,
2010-01,1.708,
2010-04,1.729,
2010-07,2.132,
2010-10,2.187,
2011-01,2.170,
2011-04,2.121,
2011-07,1.802,
2011-10,1.804,
2012-01,1.798,
2012-04,2.042,
2012-07,2.017,
2012-10,1.955,
2013-01,1.922,
2013-04,1.905,
2013-07,1.914,
2013-10,1.935,
2014-01,1.909,
2014-04,1.939,
2014-07,1.920,
