"",BBK01.OEXI02G,BBK01.OEXI02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:33,
2002-01,19.996,
2002-04,21.412,
2002-07,21.022,
2002-10,23.144,
2003-01,25.748,
2003-04,25.763,
2003-07,27.099,
2003-10,29.114,
2004-01,29.574,
2004-04,29.240,
2004-07,29.409,
2004-10,31.718,
2005-01,11.577,
2005-04,12.034,
2005-07,9.233,
2005-10,9.456,
2006-01,9.412,
2006-04,9.348,
2006-07,9.146,
2006-10,9.026,
2007-01,9.208,
2007-04,9.327,
2007-07,9.264,
2007-10,9.442,
2008-01,9.291,
2008-04,9.301,
2008-07,9.805,
2008-10,9.811,
2009-01,11.117,
2009-04,12.192,
2009-07,11.639,
2009-10,11.910,
2010-01,12.937,
2010-04,12.953,
2010-07,13.478,
2010-10,13.481,
2011-01,13.303,
2011-04,13.989,
2011-07,13.649,
2011-10,13.808,
2012-01,14.129,
2012-04,14.786,
2012-07,15.920,
2012-10,16.088,
2013-01,15.686,
2013-04,16.694,
2013-07,17.191,
2013-10,17.985,
2014-01,17.880,
2014-04,18.393,
2014-07,18.658,
