"",BBK01.OEAH22O,BBK01.OEAH22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:55,
2002-01,4.482,
2002-04,4.559,
2002-07,4.685,
2002-10,5.125,
2003-01,4.963,
2003-04,4.850,
2003-07,4.787,
2003-10,4.856,
2004-01,4.839,
2004-04,4.876,
2004-07,5.013,
2004-10,5.190,
2005-01,5.219,
2005-04,5.193,
2005-07,5.114,
2005-10,5.149,
2006-01,5.256,
2006-04,5.414,
2006-07,5.646,
2006-10,5.911,
2007-01,6.425,
2007-04,6.921,
2007-07,7.470,
2007-10,8.011,
2008-01,8.342,
2008-04,8.642,
2008-07,9.002,
2008-10,9.005,
2009-01,9.003,
2009-04,7.961,
2009-07,7.346,
2009-10,7.112,
2010-01,6.922,
2010-04,6.766,
2010-07,6.684,
2010-10,6.867,
2011-01,7.021,
2011-04,7.399,
2011-07,7.590,
2011-10,7.748,
2012-01,7.732,
2012-04,7.639,
2012-07,7.382,
2012-10,7.347,
2013-01,6.788,
2013-04,6.525,
2013-07,6.288,
2013-10,6.270,
2014-01,5.933,
2014-04,5.765,
2014-07,5.577,
