"",BBK01.OEBI02V,BBK01.OEBI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:24,
2002-01,4.123,
2002-04,4.501,
2002-07,4.631,
2002-10,5.104,
2003-01,4.694,
2003-04,4.778,
2003-07,4.849,
2003-10,5.920,
2004-01,6.134,
2004-04,6.740,
2004-07,7.081,
2004-10,6.266,
2005-01,6.709,
2005-04,7.241,
2005-07,8.655,
2005-10,7.349,
2006-01,7.023,
2006-04,7.075,
2006-07,7.006,
2006-10,7.649,
2007-01,7.384,
2007-04,7.453,
2007-07,7.415,
2007-10,7.925,
2008-01,7.919,
2008-04,7.647,
2008-07,8.070,
2008-10,8.618,
2009-01,11.383,
2009-04,11.589,
2009-07,11.934,
2009-10,11.130,
2010-01,10.945,
2010-04,11.172,
2010-07,11.443,
2010-10,11.294,
2011-01,11.165,
2011-04,11.355,
2011-07,12.012,
2011-10,11.414,
2012-01,11.166,
2012-04,10.640,
2012-07,10.684,
2012-10,11.278,
2013-01,11.076,
2013-04,11.186,
2013-07,11.083,
2013-10,11.298,
2014-01,11.444,
2014-04,11.691,
2014-07,12.245,
