"",BBK01.OEAI06S,BBK01.OEAI06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:41,
2002-01,1.918,
2002-04,1.960,
2002-07,1.962,
2002-10,1.945,
2003-01,1.928,
2003-04,1.894,
2003-07,1.896,
2003-10,1.902,
2004-01,1.947,
2004-04,1.964,
2004-07,1.927,
2004-10,1.961,
2005-01,1.939,
2005-04,1.928,
2005-07,1.880,
2005-10,1.835,
2006-01,1.769,
2006-04,1.745,
2006-07,1.732,
2006-10,1.713,
2007-01,1.699,
2007-04,1.703,
2007-07,1.713,
2007-10,1.731,
2008-01,1.722,
2008-04,1.703,
2008-07,1.716,
2008-10,1.720,
2009-01,1.670,
2009-04,1.598,
2009-07,1.487,
2009-10,1.431,
2010-01,1.362,
2010-04,1.281,
2010-07,1.230,
2010-10,1.196,
2011-01,1.178,
2011-04,1.213,
2011-07,1.190,
2011-10,1.227,
2012-01,1.217,
2012-04,1.215,
2012-07,1.191,
2012-10,1.081,
2013-01,1.046,
2013-04,1.052,
2013-07,1.051,
2013-10,1.069,
2014-01,1.073,
2014-04,1.089,
2014-07,1.111,
