"",BBFN1.M.DE.N.1.A.PT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:17,
1975-12,0.008,
1976-01,0.008,
1976-02,0.009,
1976-03,0.010,
1976-04,0.010,
1976-05,0.009,
1976-06,0.009,
1976-07,0.008,
1976-08,0.010,
1976-09,0.010,
1976-10,0.008,
1976-11,0.010,
1976-12,0.010,
1977-01,0.008,
1977-02,0.008,
1977-03,0.008,
1977-04,0.008,
1977-05,0.008,
1977-06,0.007,
1977-07,0.009,
1977-08,0.016,
1977-09,0.009,
1977-10,0.009,
1977-11,0.009,
1977-12,0.009,
1978-01,0.012,
1978-02,0.011,
1978-03,0.012,
1978-04,0.009,
1978-05,0.007,
1978-06,0.007,
1978-07,0.008,
1978-08,0.007,
1978-09,0.008,
1978-10,0.007,
1978-11,0.007,
1978-12,0.008,
1979-01,0.008,
1979-02,0.008,
1979-03,0.007,
1979-04,0.010,
1979-05,0.010,
1979-06,0.011,
1979-07,0.010,
1979-08,0.011,
1979-09,0.010,
1979-10,0.009,
1979-11,0.008,
1979-12,0.009,
1980-01,0.009,
1980-02,0.009,
1980-03,0.009,
1980-04,0.009,
1980-05,0.010,
1980-06,0.009,
1980-07,0.006,
1980-08,0.007,
1980-09,0.008,
1980-10,0.007,
1980-11,0.007,
1980-12,0.008,
1981-01,0.009,
1981-02,0.008,
1981-03,0.009,
1981-04,0.012,
1981-05,0.010,
1981-06,0.010,
1981-07,0.011,
1981-08,0.011,
1981-09,0.010,
1981-10,0.010,
1981-11,0.010,
1981-12,0.010,
1982-01,0.009,
1982-02,0.011,
1982-03,0.009,
1982-04,0.012,
1982-05,0.013,
1982-06,0.013,
1982-07,0.018,
1982-08,0.013,
1982-09,0.012,
1982-10,0.010,
1982-11,0.010,
1982-12,0.010,
1983-01,0.008,
1983-02,0.010,
1983-03,0.010,
1983-04,0.012,
1983-05,0.014,
1983-06,0.014,
1983-07,0.015,
1983-08,0.017,
1983-09,0.016,
1983-10,0.011,
1983-11,0.010,
1983-12,0.011,
1984-01,0.012,
1984-02,0.011,
1984-03,0.011,
1984-04,0.010,
1984-05,0.010,
1984-06,0.013,
1984-07,0.012,
1984-08,0.014,
1984-09,0.019,
1984-10,0.015,
1984-11,0.015,
1984-12,0.018,
1985-01,0.013,
1985-02,0.014,
1985-03,0.013,
1985-04,0.014,
1985-05,0.015,
1985-06,0.014,
1985-07,0.018,
1985-08,0.017,
1985-09,0.016,
1985-10,0.013,
1985-11,0.012,
1985-12,0.012,
1986-01,0.011,
1986-02,0.011,
1986-03,0.011,
1986-04,0.011,
1986-05,0.012,
1986-06,0.014,
1986-07,0.015,
1986-08,0.018,
1986-09,0.032,
1986-10,0.021,
1986-11,0.019,
1986-12,0.021,
1987-01,0.022,
1987-02,0.015,
1987-03,0.014,
1987-04,0.015,
1987-05,0.019,
1987-06,0.021,
1987-07,0.024,
1987-08,0.030,
1987-09,0.033,
1987-10,0.044,
1987-11,0.018,
1987-12,0.026,
1988-01,0.024,
1988-02,0.021,
1988-03,0.021,
1988-04,0.024,
1988-05,0.019,
1988-06,0.020,
1988-07,0.022,
1988-08,0.023,
1988-09,0.026,
1988-10,0.025,
1988-11,0.022,
1988-12,0.022,
1989-01,0.022,
1989-02,0.025,
1989-03,0.028,
1989-04,0.029,
1989-05,0.027,
1989-06,0.029,
1989-07,0.036,
1989-08,0.037,
1989-09,0.034,
1989-10,0.034,
1989-11,0.033,
1989-12,0.036,
1990-01,0.035,
1990-02,0.034,
1990-03,0.041,
1990-04,0.043,
1990-05,0.054,
1990-06,0.056,
1990-07,0.057,
