"",BBK01.OEAD11J,BBK01.OEAD11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:19,
2002-01,0.528,
2002-04,0.496,
2002-07,0.512,
2002-10,0.410,
2003-01,0.460,
2003-04,0.449,
2003-07,0.436,
2003-10,0.384,
2004-01,0.361,
2004-04,0.376,
2004-07,0.321,
2004-10,0.322,
2005-01,0.317,
2005-04,0.321,
2005-07,0.336,
2005-10,0.321,
2006-01,0.348,
2006-04,0.338,
2006-07,0.366,
2006-10,0.364,
2007-01,0.445,
2007-04,0.455,
2007-07,0.519,
2007-10,0.394,
2008-01,0.410,
2008-04,0.428,
2008-07,0.445,
2008-10,0.446,
2009-01,0.399,
2009-04,0.379,
2009-07,0.408,
2009-10,0.386,
2010-01,0.214,
2010-04,0.436,
2010-07,0.476,
2010-10,0.549,
2011-01,0.606,
2011-04,0.631,
2011-07,0.652,
2011-10,0.625,
2012-01,0.682,
2012-04,0.742,
2012-07,0.811,
2012-10,0.804,
2013-01,0.808,
2013-04,0.747,
2013-07,0.751,
2013-10,0.856,
2014-01,0.832,
2014-04,0.853,
2014-07,0.845,
