"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:41,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,0.029,
1993-01,-0.044,
1993-04,-0.122,
1993-07,-0.237,
1993-10,-0.047,
1994-01,0.850,
1994-04,0.015,
1994-07,0.005,
1994-10,0.000,
1995-01,0.051,
1995-04,0.155,
1995-07,-,Nothing exists
1995-10,4.343,
1996-01,-,Nothing exists
1996-04,1.608,
1996-07,4.698,
1996-10,13.291,
1997-01,-3.022,
1997-04,49.145,
1997-07,29.066,
1997-10,15.204,
1998-01,15.461,
1998-04,94.188,
1998-07,-21.697,
1998-10,-8.484,
1999-01,19.474,
1999-04,-31.681,
1999-07,12.929,
1999-10,8.100,
2000-01,83.124,
2000-04,52.124,
2000-07,15.563,
2000-10,12.251,
2001-01,80.756,
2001-04,119.491,
2001-07,13.246,
2001-10,152.500,
2002-01,-139.220,
2002-04,-93.745,
2002-07,-49.184,
2002-10,1.918,
2003-01,-14.564,
2003-04,-111.327,
2003-07,-49.829,
2003-10,-18.289,
2004-01,33.109,
2004-04,3.782,
2004-07,-28.545,
2004-10,44.795,
2005-01,-6.305,
2005-04,-21.416,
2005-07,-2.945,
2005-10,-1.194,
2006-01,-20.870,
2006-04,124.118,
2006-07,-100.942,
2006-10,-0.157,
2007-01,162.530,
2007-04,1.191,
2007-07,-49.276,
2007-10,66.415,
2008-01,-9.327,
2008-04,-53.729,
2008-07,-61.634,
2008-10,-28.157,
2009-01,25.450,
2009-04,98.965,
2009-07,779.108,
2009-10,52.552,
2010-01,650.357,
2010-04,-50.363,
2010-07,104.233,
2010-10,71.654,
2011-01,709.257,
2011-04,-147.369,
2011-07,-136.179,
2011-10,-82.474,
2012-01,-37.435,
2012-04,95.526,
2012-07,-269.064,
2012-10,-24.435,
2013-01,-72.894,
2013-04,-98.002,
2013-07,-6.325,
2013-10,162.201,
2014-01,509.126,Provisional value
2014-04,161.331,Provisional value
2014-07,-31.200,Provisional value
2014-10,366.146,Provisional value
