"",BBK01.OECL01J,BBK01.OECL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:19,
2002-01,0.659,
2002-04,0.629,
2002-07,0.609,
2002-10,0.634,
2003-01,0.608,
2003-04,0.595,
2003-07,0.575,
2003-10,0.570,
2004-01,0.534,
2004-04,0.506,
2004-07,0.556,
2004-10,0.578,
2005-01,1.026,
2005-04,1.033,
2005-07,1.021,
2005-10,1.019,
2006-01,1.035,
2006-04,1.026,
2006-07,1.015,
2006-10,1.042,
2007-01,1.073,
2007-04,1.122,
2007-07,1.158,
2007-10,1.255,
2008-01,1.249,
2008-04,1.267,
2008-07,1.338,
2008-10,1.516,
2009-01,1.527,
2009-04,1.513,
2009-07,1.543,
2009-10,1.474,
2010-01,1.431,
2010-04,1.421,
2010-07,1.414,
2010-10,1.446,
2011-01,1.430,
2011-04,1.446,
2011-07,1.426,
2011-10,1.462,
2012-01,1.506,
2012-04,1.580,
2012-07,1.589,
2012-10,1.614,
2013-01,1.531,
2013-04,1.484,
2013-07,1.426,
2013-10,1.481,
2014-01,1.442,
2014-04,1.462,
2014-07,1.452,
