"",BBK01.OECB01S,BBK01.OECB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:49,
2002-01,3.675,
2002-04,3.612,
2002-07,3.590,
2002-10,3.267,
2003-01,3.088,
2003-04,3.075,
2003-07,3.071,
2003-10,3.031,
2004-01,2.963,
2004-04,2.888,
2004-07,2.865,
2004-10,2.678,
2005-01,3.875,
2005-04,3.883,
2005-07,3.921,
2005-10,3.850,
2006-01,3.911,
2006-04,3.944,
2006-07,3.996,
2006-10,3.964,
2007-01,3.947,
2007-04,4.039,
2007-07,4.007,
2007-10,4.022,
2008-01,4.053,
2008-04,4.133,
2008-07,4.147,
2008-10,4.094,
2009-01,4.079,
2009-04,4.703,
2009-07,4.661,
2009-10,4.703,
2010-01,4.711,
2010-04,4.715,
2010-07,4.660,
2010-10,4.592,
2011-01,4.656,
2011-04,4.675,
2011-07,4.648,
2011-10,4.667,
2012-01,4.690,
2012-04,4.690,
2012-07,4.703,
2012-10,4.670,
2013-01,4.716,
2013-04,4.745,
2013-07,4.756,
2013-10,4.755,
2014-01,4.729,
2014-04,4.779,
2014-07,4.803,
