"",BBK01.OEGB20I,BBK01.OEGB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:05,
2002-01,6.505,
2002-04,6.480,
2002-07,6.450,
2002-10,6.436,
2003-01,6.421,
2003-04,6.390,
2003-07,8.105,
2003-10,7.928,
2004-01,7.747,
2004-04,7.668,
2004-07,3.555,
2004-10,3.480,
2005-01,3.463,
2005-04,3.457,
2005-07,3.778,
2005-10,3.827,
2006-01,3.803,
2006-04,3.753,
2006-07,3.698,
2006-10,2.245,
2007-01,2.213,
2007-04,1.942,
2007-07,1.889,
2007-10,1.838,
2008-01,1.807,
2008-04,2.178,
2008-07,2.152,
2008-10,2.206,
2009-01,2.166,
2009-04,2.166,
2009-07,2.145,
2009-10,2.133,
2010-01,2.113,
2010-04,2.138,
2010-07,2.154,
2010-10,2.143,
2011-01,2.144,
2011-04,2.048,
2011-07,1.997,
2011-10,1.936,
2012-01,1.881,
2012-04,1.833,
2012-07,1.776,
2012-10,1.733,
2013-01,1.698,
2013-04,1.664,
2013-07,1.643,
2013-10,1.600,
2014-01,1.557,
2014-04,1.533,
2014-07,1.517,
