"",BBK01.OEYB13T,BBK01.OEYB13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:43,
2002-01,0.035,
2002-04,0.035,
2002-07,0.021,
2002-10,0.031,
2003-01,0.037,
2003-04,0.037,
2003-07,0.037,
2003-10,0.039,
2004-01,0.081,
2004-04,0.081,
2004-07,0.079,
2004-10,0.080,
2005-01,0.076,
2005-04,0.080,
2005-07,0.102,
2005-10,0.111,
2006-01,0.111,
2006-04,0.112,
2006-07,0.114,
2006-10,0.169,
2007-01,0.164,
2007-04,0.171,
2007-07,0.174,
2007-10,0.160,
2008-01,0.158,
2008-04,0.165,
2008-07,0.164,
2008-10,0.162,
2009-01,0.166,
2009-04,0.163,
2009-07,0.160,
2009-10,0.165,
2010-01,0.163,
2010-04,0.155,
2010-07,0.155,
2010-10,0.153,
2011-01,0.155,
2011-04,0.153,
2011-07,0.156,
2011-10,0.154,
2012-01,0.156,
2012-04,0.154,
2012-07,0.153,
2012-10,0.155,
2013-01,0.152,
2013-04,0.151,
2013-07,0.146,
2013-10,0.143,
2014-01,0.150,
2014-04,0.143,
2014-07,0.140,
