"",BBK01.OEAH24K,BBK01.OEAH24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:37,
2002-01,1.284,
2002-04,1.253,
2002-07,1.203,
2002-10,1.180,
2003-01,1.091,
2003-04,1.028,
2003-07,0.977,
2003-10,0.915,
2004-01,0.880,
2004-04,0.845,
2004-07,0.810,
2004-10,0.806,
2005-01,0.756,
2005-04,0.695,
2005-07,0.644,
2005-10,0.608,
2006-01,0.575,
2006-04,0.489,
2006-07,0.455,
2006-10,0.435,
2007-01,0.410,
2007-04,0.399,
2007-07,0.385,
2007-10,0.367,
2008-01,0.360,
2008-04,0.328,
2008-07,0.324,
2008-10,0.320,
2009-01,0.313,
2009-04,0.304,
2009-07,0.288,
2009-10,0.333,
2010-01,0.390,
2010-04,0.510,
2010-07,0.526,
2010-10,0.564,
2011-01,0.562,
2011-04,0.670,
2011-07,0.717,
2011-10,0.729,
2012-01,0.777,
2012-04,0.787,
2012-07,0.819,
2012-10,0.840,
2013-01,0.780,
2013-04,0.689,
2013-07,0.666,
2013-10,0.659,
2014-01,0.647,
2014-04,0.636,
2014-07,2.015,
