"",BBFN1.M.DE.N.1.A.CA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:24,
1982-09,0.533,
1982-10,0.543,
1982-11,0.534,
1982-12,0.478,
1983-01,0.503,
1983-02,0.464,
1983-03,0.541,
1983-04,0.532,
1983-05,0.549,
1983-06,0.540,
1983-07,0.579,
1983-08,0.563,
1983-09,0.560,
1983-10,0.586,
1983-11,0.549,
1983-12,0.501,
1984-01,0.596,
1984-02,0.492,
1984-03,0.624,
1984-04,0.661,
1984-05,0.583,
1984-06,0.508,
1984-07,0.542,
1984-08,0.540,
1984-09,0.551,
1984-10,0.573,
1984-11,0.540,
1984-12,0.507,
1985-01,0.516,
1985-02,0.546,
1985-03,0.524,
1985-04,0.537,
1985-05,0.549,
1985-06,0.614,
1985-07,0.580,
1985-08,0.554,
1985-09,0.544,
1985-10,0.544,
1985-11,0.553,
1985-12,0.532,
1986-01,0.577,
1986-02,0.534,
1986-03,0.517,
1986-04,0.548,
1986-05,0.560,
1986-06,0.562,
1986-07,0.593,
1986-08,0.576,
1986-09,0.550,
1986-10,0.568,
1986-11,0.575,
1986-12,0.570,
1987-01,0.672,
1987-02,0.546,
1987-03,0.546,
1987-04,0.616,
1987-05,0.617,
1987-06,0.557,
1987-07,0.578,
1987-08,0.556,
1987-09,0.538,
1987-10,0.504,
1987-11,0.567,
1987-12,0.518,
1988-01,0.632,
1988-02,0.525,
1988-03,0.506,
1988-04,0.522,
1988-05,0.511,
1988-06,0.538,
1988-07,0.553,
1988-08,0.507,
1988-09,0.507,
1988-10,0.612,
1988-11,0.511,
1988-12,0.524,
1989-01,0.612,
1989-02,0.596,
1989-03,0.595,
1989-04,0.648,
1989-05,0.694,
1989-06,0.673,
1989-07,0.676,
1989-08,0.667,
1989-09,0.706,
1989-10,0.676,
1989-11,0.633,
1989-12,0.660,
1990-01,0.782,
1990-02,1.050,
1990-03,1.075,
1990-04,1.093,
1990-05,1.042,
1990-06,1.055,
1990-07,1.121,
1990-08,1.025,
1990-09,1.078,
1990-10,0.838,
1990-11,0.927,
1990-12,0.801,
1991-01,0.906,
1991-02,0.802,
1991-03,0.807,
1991-04,0.839,
1991-05,0.821,
1991-06,0.802,
1991-07,0.842,
1991-08,0.772,
1991-09,0.766,
1991-10,0.858,
1991-11,0.802,
1991-12,0.683,
1992-01,0.843,
1992-02,0.795,
1992-03,0.869,
1992-04,0.908,
1992-05,0.885,
1992-06,0.840,
1992-07,0.851,
1992-08,0.820,
1992-09,0.669,
1992-10,0.704,
1992-11,0.708,
1992-12,0.618,
1993-01,0.870,
1993-02,0.864,
1993-03,0.861,
1993-04,0.887,
1993-05,0.858,
1993-06,0.830,
