"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:38,
2013-10,36881.817,
2013-11,28591.275,
2013-12,33939.262,
2014-01,35833.091,
2014-02,33616.990,Provisional value
2014-03,32765.465,Provisional value
2014-04,32623.605,Provisional value
2014-05,29044.955,Provisional value
2014-06,28627.227,Provisional value
2014-07,35162.084,Provisional value
2014-08,30982.498,Provisional value
2014-09,36196.690,
2014-10,49921.845,
2014-11,38726.991,
2014-12,44249.686,Provisional value
