"",BBK01.OEAC08T,BBK01.OEAC08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:24,
2002-01,0.106,
2002-04,0.105,
2002-07,0.105,
2002-10,0.102,
2003-01,0.105,
2003-04,0.104,
2003-07,0.105,
2003-10,0.111,
2004-01,0.106,
2004-04,0.107,
2004-07,0.106,
2004-10,0.107,
2005-01,0.107,
2005-04,0.102,
2005-07,0.101,
2005-10,0.105,
2006-01,0.114,
2006-04,0.121,
2006-07,0.102,
2006-10,0.098,
2007-01,0.096,
2007-04,0.099,
2007-07,0.097,
2007-10,0.101,
2008-01,0.125,
2008-04,0.127,
2008-07,0.143,
2008-10,0.144,
2009-01,0.444,
2009-04,0.170,
2009-07,0.172,
2009-10,0.170,
2010-01,0.188,
2010-04,0.230,
2010-07,0.240,
2010-10,0.244,
2011-01,0.269,
2011-04,0.325,
2011-07,0.351,
2011-10,0.389,
2012-01,0.373,
2012-04,0.380,
2012-07,0.426,
2012-10,0.425,
2013-01,0.412,
2013-04,0.438,
2013-07,0.418,
2013-10,0.434,
2014-01,0.445,
2014-04,0.448,
2014-07,0.429,
