"",BBK01.OEXL01K,BBK01.OEXL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:48,
2002-01,5.739,
2002-04,5.702,
2002-07,5.706,
2002-10,5.762,
2003-01,5.694,
2003-04,5.802,
2003-07,6.009,
2003-10,5.775,
2004-01,6.136,
2004-04,6.140,
2004-07,6.022,
2004-10,4.830,
2005-01,5.207,
2005-04,5.159,
2005-07,5.078,
2005-10,5.161,
2006-01,5.166,
2006-04,5.228,
2006-07,5.049,
2006-10,5.304,
2007-01,5.560,
2007-04,5.899,
2007-07,6.169,
2007-10,6.793,
2008-01,7.001,
2008-04,6.915,
2008-07,7.154,
2008-10,8.307,
2009-01,7.856,
2009-04,7.776,
2009-07,7.659,
2009-10,7.685,
2010-01,7.709,
2010-04,7.923,
2010-07,7.621,
2010-10,8.287,
2011-01,8.417,
2011-04,8.605,
2011-07,8.962,
2011-10,9.063,
2012-01,9.485,
2012-04,10.675,
2012-07,10.529,
2012-10,10.713,
2013-01,10.837,
2013-04,11.038,
2013-07,10.963,
2013-10,11.309,
2014-01,11.098,
2014-04,11.225,
2014-07,11.212,
