"",BBK01.OEAM03H,BBK01.OEAM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:23,
2002-01,8.736,
2002-04,8.288,
2002-07,8.062,
2002-10,6.924,
2003-01,6.472,
2003-04,6.796,
2003-07,6.375,
2003-10,6.004,
2004-01,5.867,
2004-04,5.259,
2004-07,5.171,
2004-10,5.570,
2005-01,5.533,
2005-04,5.764,
2005-07,5.747,
2005-10,6.535,
2006-01,6.133,
2006-04,7.169,
2006-07,8.885,
2006-10,10.563,
2007-01,10.033,
2007-04,11.339,
2007-07,16.102,
2007-10,20.139,
2008-01,18.733,
2008-04,21.231,
2008-07,20.677,
2008-10,19.277,
2009-01,15.172,
2009-04,12.843,
2009-07,11.129,
2009-10,8.397,
2010-01,10.799,
2010-04,8.861,
2010-07,12.098,
2010-10,26.602,
2011-01,21.029,
2011-04,25.110,
2011-07,22.289,
2011-10,23.226,
2012-01,22.299,
2012-04,24.270,
2012-07,21.967,
2012-10,21.625,
2013-01,24.090,
2013-04,23.933,
2013-07,17.905,
2013-10,17.046,
2014-01,18.087,
2014-04,18.112,
2014-07,17.491,
