"",BBK01.OEAO03I,BBK01.OEAO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:59,
2002-01,2.258,
2002-04,2.503,
2002-07,1.658,
2002-10,1.572,
2003-01,1.837,
2003-04,1.663,
2003-07,1.805,
2003-10,1.679,
2004-01,2.057,
2004-04,1.597,
2004-07,1.653,
2004-10,1.498,
2005-01,1.966,
2005-04,1.918,
2005-07,1.897,
2005-10,1.729,
2006-01,2.140,
2006-04,2.075,
2006-07,1.905,
2006-10,2.091,
2007-01,2.713,
2007-04,2.330,
2007-07,2.184,
2007-10,2.264,
2008-01,2.588,
2008-04,2.438,
2008-07,2.368,
2008-10,2.565,
2009-01,2.593,
2009-04,2.473,
2009-07,2.646,
2009-10,3.325,
2010-01,2.722,
2010-04,1.776,
2010-07,2.240,
2010-10,1.727,
2011-01,2.217,
2011-04,1.913,
2011-07,1.746,
2011-10,1.590,
2012-01,1.765,
2012-04,1.424,
2012-07,2.702,
2012-10,1.511,
2013-01,1.773,
2013-04,1.371,
2013-07,1.330,
2013-10,1.224,
2014-01,1.143,
2014-04,1.101,
2014-07,1.153,
