"",BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Enterprises / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:11,
1991-01,82.38,
1991-04,86.58,
1991-07,87.81,
1991-10,88.93,
1992-01,88.87,
1992-04,92.80,
1992-07,94.70,
1992-10,95.05,
1993-01,94.93,
1993-04,96.43,
1993-07,96.51,
1993-10,97.34,
1994-01,97.12,
1994-04,96.90,
1994-07,96.56,
1994-10,96.66,
1995-01,97.20,
1995-04,98.84,
1995-07,98.90,
1995-10,99.12,
1996-01,100.45,
1996-04,98.79,
1996-07,98.68,
1996-10,98.26,
1997-01,100.38,
1997-04,96.61,
1997-07,96.83,
1997-10,96.32,
1998-01,96.64,
1998-04,97.74,
1998-07,97.34,
1998-10,97.87,
1999-01,98.52,
1999-04,99.00,
1999-07,97.95,
1999-10,97.11,
2000-01,97.73,
2000-04,98.72,
2000-07,98.90,
2000-10,98.91,
2001-01,96.24,
2001-04,97.70,
2001-07,97.73,
2001-10,97.33,
2002-01,97.40,
2002-04,96.78,
2002-07,96.98,
2002-10,97.18,
2003-01,98.47,
2003-04,98.80,
2003-07,97.40,
2003-10,97.80,
2004-01,97.93,
2004-04,97.02,
2004-07,96.98,
2004-10,96.95,
2005-01,98.63,
2005-04,96.14,
2005-07,96.06,
2005-10,96.09,
2006-01,94.50,
2006-04,94.49,
2006-07,94.43,
2006-10,92.88,
2007-01,92.36,
2007-04,93.29,
2007-07,92.77,
2007-10,92.76,
2008-01,93.88,
2008-04,93.51,
2008-07,95.56,
2008-10,99.64,
2009-01,104.28,
2009-04,103.74,
2009-07,102.14,
2009-10,101.97,
2010-01,100.89,
2010-04,99.71,
2010-07,99.64,
2010-10,99.78,
2011-01,98.90,
2011-04,99.96,
2011-07,100.16,
2011-10,101.34,
2012-01,101.37,
2012-04,103.54,
2012-07,104.37,
2012-10,105.22,
2013-01,105.88,
2013-04,105.45,
2013-07,105.39,
2013-10,105.76,
2014-01,106.41,
2014-04,107.75,
2014-07,107.39,
2014-10,107.77,
