"",BBK01.OELK04O,BBK01.OELK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:33,
2002-01,0.505,
2002-04,0.493,
2002-07,0.484,
2002-10,0.486,
2003-01,0.473,
2003-04,0.449,
2003-07,0.441,
2003-10,0.444,
2004-01,0.427,
2004-04,0.401,
2004-07,0.398,
2004-10,0.395,
2005-01,0.377,
2005-04,0.361,
2005-07,0.361,
2005-10,0.380,
2006-01,0.388,
2006-04,0.399,
2006-07,0.421,
2006-10,0.450,
2007-01,0.497,
2007-04,0.517,
2007-07,0.561,
2007-10,0.626,
2008-01,0.643,
2008-04,0.676,
2008-07,0.739,
2008-10,0.856,
2009-01,0.731,
2009-04,0.666,
2009-07,0.585,
2009-10,0.522,
2010-01,0.457,
2010-04,0.443,
2010-07,0.421,
2010-10,0.431,
2011-01,0.435,
2011-04,0.441,
2011-07,0.461,
2011-10,0.475,
2012-01,0.470,
2012-04,0.457,
2012-07,0.391,
2012-10,0.358,
2013-01,0.328,
2013-04,0.280,
2013-07,0.276,
2013-10,0.272,
2014-01,0.282,
2014-04,0.298,
2014-07,0.286,
