"",BBSF2.M.1.P.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.AKT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Equity funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:10,
2009-09,1590,
2009-10,1529,
2009-11,1560,
2009-12,1870,
2010-01,1824,
2010-02,1822,
2010-03,1805,
2010-04,1764,
2010-05,1692,
2010-06,1667,
2010-07,1625,
2010-08,1634,
2010-09,1737,
2010-10,1743,
2010-11,1774,
2010-12,1842,
2011-01,1783,
2011-02,1793,
2011-03,1885,
2011-04,1815,
2011-05,1813,
2011-06,1767,
2011-07,1660,
2011-08,1550,
2011-09,1461,
2011-10,1510,
2011-11,1440,
2011-12,1500,
2012-01,1526,
2012-02,1519,
2012-03,1512,
2012-04,1499,
2012-05,1504,
2012-06,1544,
2012-07,1651,
2012-08,1606,
2012-09,1648,
2012-10,1635,
2012-11,1684,
2012-12,1698,
2013-01,1683,
2013-02,1564,
2013-03,1572,
2013-04,1430,
2013-05,1445,
2013-06,1388,
2013-07,1462,
2013-08,1454,
2013-09,1516,
2013-10,1586,
2013-11,1500,
2013-12,1403,
2014-01,1515,
2014-02,1583,
2014-03,1572,
2014-04,1580,
2014-05,1671,
2014-06,1756,
2014-07,1701,
2014-08,1708,
2014-09,1760,
2014-10,1739,
2014-11,1989,
