"",BBK01.OELI03K,BBK01.OELI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:39,
2002-01,0.649,
2002-04,0.633,
2002-07,0.664,
2002-10,0.677,
2003-01,0.688,
2003-04,0.671,
2003-07,0.640,
2003-10,0.674,
2004-01,0.695,
2004-04,0.743,
2004-07,0.778,
2004-10,0.913,
2005-01,0.864,
2005-04,0.702,
2005-07,1.091,
2005-10,1.060,
2006-01,1.340,
2006-04,1.329,
2006-07,1.539,
2006-10,1.435,
2007-01,1.816,
2007-04,1.601,
2007-07,1.272,
2007-10,1.326,
2008-01,1.226,
2008-04,1.155,
2008-07,1.361,
2008-10,1.782,
2009-01,1.134,
2009-04,0.822,
2009-07,0.813,
2009-10,0.756,
2010-01,0.655,
2010-04,0.694,
2010-07,0.683,
2010-10,0.666,
2011-01,0.620,
2011-04,0.710,
2011-07,0.728,
2011-10,0.588,
2012-01,0.606,
2012-04,0.635,
2012-07,0.563,
2012-10,0.511,
2013-01,0.541,
2013-04,0.695,
2013-07,0.591,
2013-10,0.491,
2014-01,0.498,
2014-04,0.537,
2014-07,0.632,
