"",BBSF2.M.1.T.00000.DRE01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DRE01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:33,
2009-09,72,
2009-10,76,
2009-11,77,
2009-12,79,
2010-01,77,
2010-02,77,
2010-03,75,
2010-04,80,
2010-05,80,
2010-06,81,
2010-07,81,
2010-08,76,
2010-09,72,
2010-10,73,
2010-11,95,
2010-12,102,
2011-01,100,
2011-02,106,
2011-03,104,
2011-04,90,
2011-05,86,
2011-06,83,
2011-07,78,
2011-08,80,
2011-09,79,
2011-10,99,
2011-11,132,
2011-12,125,
2012-01,133,
2012-02,130,
2012-03,122,
2012-04,130,
2012-05,127,
2012-06,122,
2012-07,125,
2012-08,119,
2012-09,116,
2012-10,125,
2012-11,114,
2012-12,121,
2013-01,122,
2013-02,131,
2013-03,128,
2013-04,133,
2013-05,135,
2013-06,140,
2013-07,137,
2013-08,139,
2013-09,133,
2013-10,138,
2013-11,143,
2013-12,140,
2014-01,151,
2014-02,158,
2014-03,163,
2014-04,165,
2014-05,170,
2014-06,159,
2014-07,156,
2014-08,158,
2014-09,132,
2014-10,131,
2014-11,138,
