"",BBK01.PQE361,BBK01.PQE361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:25,
1968-10,0.001,
1969-01,0.001,
1969-04,0.001,
1969-07,0.002,
1969-10,0.002,
1970-01,0.002,
1970-04,0.002,
1970-07,0.002,
1970-10,0.002,
1971-01,0.002,
1971-04,0.002,
1971-07,0.005,
1971-10,0.005,
1972-01,0.007,
1972-04,0.009,
1972-07,0.011,
1972-10,0.013,
1973-01,0.015,
1973-04,0.015,
1973-07,0.016,
1973-10,0.018,
1974-01,0.016,
1974-04,0.018,
1974-07,0.019,
1974-10,0.022,
1975-01,0.022,
1975-04,0.022,
1975-07,0.022,
1975-10,0.026,
1976-01,0.025,
1976-04,0.025,
1976-07,0.011,
1976-10,0.012,
1977-01,0.012,
1977-04,0.012,
1977-07,0.009,
1977-10,0.010,
1978-01,0.010,
1978-04,0.011,
1978-07,0.012,
1978-10,0.013,
1979-01,0.013,
1979-04,0.014,
1979-07,0.016,
1979-10,0.017,
1980-01,0.017,
1980-04,0.017,
1980-07,0.017,
1980-10,0.017,
1981-01,0.016,
1981-04,0.016,
1981-07,0.020,
1981-10,0.019,
1982-01,0.021,
1982-04,0.020,
1982-07,0.021,
1982-10,0.022,
1983-01,0.028,
1983-04,0.028,
1983-07,0.028,
1983-10,0.027,
1984-01,0.027,
1984-04,0.027,
1984-07,0.029,
1984-10,0.029,
1985-01,0.026,
1985-04,0.025,
1985-07,0.024,
1985-10,0.024,
1986-01,0.022,
1986-04,0.020,
1986-07,0.016,
1986-10,0.001,
1987-01,0.001,
1987-04,0.001,
1987-07,0.001,
1987-10,0.001,
1988-01,0.002,
1988-04,0.007,
1988-07,0.001,
1988-10,0.001,
1989-01,0.001,
1989-04,0.002,
1989-07,0.001,
1989-10,0.002,
1990-01,0.002,
1990-04,0.002,
1990-07,0.002,
1990-10,0.002,
1991-01,0.002,
1991-04,0.002,
1991-07,0.002,
1991-10,0.003,
1992-01,0.003,
1992-04,0.002,
1992-07,0.002,
1992-10,0.002,
1993-01,0.002,
1993-04,0.002,
1993-07,0.002,
1993-10,0.002,
1994-01,0.002,
1994-04,0.002,
1994-07,0.002,
1994-10,0.051,
1995-01,0.133,
1995-04,0.140,
1995-07,0.147,
1995-10,0.150,
1996-01,0.143,
1996-04,0.146,
1996-07,0.154,
1996-10,0.164,
1997-01,0.167,
1997-04,0.193,
1997-07,0.130,
1997-10,0.124,
1998-01,0.196,
1998-04,0.201,
1998-07,0.179,
1998-10,0.221,
1999-01,0.099,
1999-04,0.095,
1999-07,0.096,
1999-10,0.095,
2000-01,0.113,
2000-04,0.111,
2000-07,0.115,
2000-10,0.148,
2001-01,0.145,
2001-04,0.149,
2001-07,0.157,
2001-10,0.159,
2002-01,0.151,
2002-04,0.167,
2002-07,0.175,
2002-10,0.172,
2003-01,0.268,
2003-04,0.137,
2003-07,0.142,
2003-10,0.145,
2004-01,0.149,
2004-04,0.162,
2004-07,0.174,
2004-10,0.184,
2005-01,0.183,
2005-04,0.201,
2005-07,0.215,
2005-10,0.218,
2006-01,0.227,
2006-04,0.237,
2006-07,0.260,
2006-10,0.285,
2007-01,0.318,
2007-04,0.331,
2007-07,0.349,
2007-10,0.336,
2008-01,0.362,
2008-04,0.401,
2008-07,0.422,
2008-10,0.479,
2009-01,0.511,
2009-04,0.518,
2009-07,0.532,
2009-10,0.511,
2010-01,0.556,
2010-04,0.592,
2010-07,0.616,
2010-10,0.561,
2011-01,0.587,
2011-04,0.568,
2011-07,0.555,
2011-10,0.561,
2012-01,0.559,
2012-04,0.597,
2012-07,0.600,
2012-10,0.600,
2013-01,0.611,
2013-04,0.627,
2013-07,0.680,
2013-10,0.699,
2014-01,0.725,
2014-04,0.789,
2014-07,0.813,
2014-10,0.841,
