"",BBK01.OEHO04K,BBK01.OEHO04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:39,
2002-01,-0.018,
2002-04,-0.240,
2002-07,-0.017,
2002-10,0.149,
2003-01,0.035,
2003-04,-0.066,
2003-07,-0.072,
2003-10,0.015,
2004-01,-0.046,
2004-04,-0.043,
2004-07,-0.084,
2004-10,0.070,
2005-01,-0.029,
2005-04,-0.028,
2005-07,-0.140,
2005-10,-0.043,
2006-01,-0.041,
2006-04,-0.073,
2006-07,-0.102,
2006-10,-0.044,
2007-01,-0.111,
2007-04,-0.134,
2007-07,-0.151,
2007-10,0.056,
2008-01,0.022,
2008-04,-0.105,
2008-07,-0.104,
2008-10,0.405,
2009-01,-0.324,
2009-04,-0.282,
2009-07,-0.275,
2009-10,-0.149,
2010-01,-0.112,
2010-04,-0.081,
2010-07,-0.086,
2010-10,-0.009,
2011-01,-0.007,
2011-04,0.214,
2011-07,-0.007,
2011-10,-0.043,
2012-01,-0.051,
2012-04,-0.045,
2012-07,-0.019,
2012-10,-0.049,
2013-01,0.037,
2013-04,-0.094,
2013-07,0.101,
2013-10,0.088,
2014-01,0.329,
2014-04,0.214,
2014-07,0.114,
