"",BBFN1.M.DE.N.1.A.AT.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:06,
1982-09,0.001,
1982-10,-,Nothing exists
1982-11,0.001,
1982-12,0.001,
1983-01,0.001,
1983-02,0.002,
1983-03,0.002,
1983-04,0.002,
1983-05,0.001,
1983-06,0.001,
1983-07,0.001,
1983-08,0.001,
1983-09,0.001,
1983-10,0.001,
1983-11,0.002,
1983-12,0.002,
1984-01,0.002,
1984-02,0.002,
1984-03,0.002,
1984-04,0.002,
1984-05,0.002,
1984-06,0.002,
1984-07,0.002,
1984-08,0.002,
1984-09,0.002,
1984-10,0.002,
1984-11,0.002,
1984-12,0.002,
1985-01,0.002,
1985-02,0.002,
1985-03,0.002,
1985-04,0.002,
1985-05,0.002,
1985-06,0.002,
1985-07,0.002,
1985-08,0.002,
1985-09,0.002,
1985-10,0.001,
1985-11,0.001,
1985-12,0.001,
1986-01,0.001,
1986-02,0.001,
1986-03,0.001,
1986-04,0.002,
1986-05,0.002,
1986-06,0.002,
1986-07,0.002,
1986-08,0.002,
1986-09,0.002,
1986-10,0.002,
1986-11,0.001,
1986-12,0.001,
1987-01,0.001,
1987-02,.,No value available
1987-03,0.001,
1987-04,0.001,
1987-05,0.001,
1987-06,0.002,
1987-07,0.002,
1987-08,0.002,
1987-09,0.001,
1987-10,0.001,
1987-11,0.001,
1987-12,0.001,
1988-01,0.003,
1988-02,0.002,
1988-03,.,No value available
1988-04,0.078,
1988-05,0.078,
1988-06,0.078,
1988-07,0.078,
1988-08,0.078,
1988-09,0.078,
1988-10,0.078,
1988-11,0.078,
1988-12,0.078,
1989-01,0.078,
1989-02,0.078,
1989-03,0.078,
1989-04,0.078,
1989-05,0.078,
1989-06,0.078,
1989-07,0.078,
1989-08,0.078,
1989-09,0.078,
1989-10,0.078,
1989-11,0.078,
1989-12,0.078,
1990-01,0.078,
1990-02,0.078,
1990-03,0.078,
1990-04,0.078,
1990-05,0.078,
1990-06,0.078,
1990-07,0.080,
1990-08,0.080,
1990-09,0.080,
1990-10,0.081,
1990-11,0.081,
1990-12,0.081,
1991-01,0.080,
1991-02,0.083,
1991-03,0.134,
1991-04,0.148,
1991-05,0.158,
1991-06,0.157,
1991-07,0.157,
1991-08,0.157,
1991-09,0.055,
1991-10,0.055,
1991-11,0.030,
1991-12,0.021,
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,.,No value available
1992-10,.,No value available
1992-11,.,No value available
1992-12,.,No value available
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,.,No value available
1993-05,0.002,
1993-06,0.003,
1993-07,.,No value available
1993-08,0.003,
1993-09,0.003,
1993-10,0.003,
1993-11,0.003,
1993-12,0.002,
1994-01,0.002,
1994-02,0.002,
1994-03,0.002,
1994-04,0.002,
1994-05,0.001,
1994-06,.,No value available
1994-07,0.001,
1994-08,0.005,
1994-09,0.006,
1994-10,0.008,
1994-11,0.010,
1994-12,0.010,
1995-01,0.010,
1995-02,0.011,
1995-03,0.012,
1995-04,0.013,
1995-05,0.013,
1995-06,0.013,
1995-07,0.014,
1995-08,0.014,
1995-09,0.014,
1995-10,0.015,
1995-11,0.019,
1995-12,0.015,
1996-01,0.015,
1996-02,0.012,
1996-03,0.014,
1996-04,0.015,
1996-05,0.016,
1996-06,0.016,
1996-07,0.008,
1996-08,0.007,
1996-09,0.006,
1996-10,0.005,
1996-11,0.005,
1996-12,0.006,
1997-01,0.006,
1997-02,0.006,
1997-03,0.006,
1997-04,0.006,
1997-05,0.006,
1997-06,0.009,
1997-07,0.025,
1997-08,0.025,
1997-09,0.027,
1997-10,0.029,
1997-11,0.028,
1997-12,0.026,
1998-01,0.026,
1998-02,0.026,
1998-03,0.026,
1998-04,0.025,
1998-05,0.025,
1998-06,0.024,
1998-07,0.039,
1998-08,0.039,
1998-09,0.041,
1998-10,0.042,
1998-11,0.040,
1998-12,0.049,
1999-01,0.080,
1999-02,0.100,
1999-03,0.136,
1999-04,0.136,
1999-05,0.136,
1999-06,0.159,
1999-07,0.184,
1999-08,0.184,
1999-09,0.197,
1999-10,0.196,
1999-11,0.191,
1999-12,0.196,
2000-01,0.196,
2000-02,0.228,
2000-03,0.278,
2000-04,0.288,
2000-05,0.298,
2000-06,0.313,
2000-07,0.314,
2000-08,0.319,
2000-09,0.328,
2000-10,0.347,
2000-11,0.371,
2000-12,0.396,
2001-01,0.396,
2001-02,0.400,
2001-03,0.411,
2001-04,0.410,
2001-05,0.553,
2001-06,0.540,
2001-07,0.543,
2001-08,0.585,
2001-09,0.587,
2001-10,0.697,
2001-11,0.698,
2001-12,0.747,
2002-01,0.776,
2002-02,0.793,
2002-03,0.914,
2002-04,0.922,
2002-05,0.957,
2002-06,0.997,
2002-07,0.997,
2002-08,0.992,
2002-09,0.883,
2002-10,0.982,
2002-11,1.004,
2002-12,1.060,
2003-01,1.336,
2003-02,1.521,
2003-03,1.602,
2003-04,1.908,
2003-05,2.074,
2003-06,2.343,
2003-07,2.486,
2003-08,2.556,
2003-09,2.612,
2003-10,2.634,
2003-11,2.626,
2003-12,2.705,
2004-01,2.805,
2004-02,3.001,
2004-03,3.228,
2004-04,3.270,
2004-05,3.534,
2004-06,3.467,
2004-07,3.683,
2004-08,3.718,
2004-09,3.891,
2004-10,3.902,
2004-11,3.993,
2004-12,4.241,
2005-01,4.410,
2005-02,4.555,
2005-03,4.746,
2005-04,4.989,
2005-05,5.086,
2005-06,5.517,
2005-07,5.438,
2005-08,5.611,
2005-09,5.647,
2005-10,5.770,
2005-11,6.062,
2005-12,6.270,
2006-01,6.523,
2006-02,6.985,
2006-03,7.593,
2006-04,8.002,
2006-05,8.058,
2006-06,8.368,
2006-07,8.477,
2006-08,8.558,
2006-09,8.782,
2006-10,8.922,
2006-11,9.086,
2006-12,9.216,
2007-01,9.717,
2007-02,10.106,
2007-03,10.387,
2007-04,10.587,
2007-05,10.939,
2007-06,11.276,
2007-07,11.371,
2007-08,11.423,
2007-09,11.421,
2007-10,11.715,
2007-11,11.714,
2007-12,11.951,
2008-01,12.074,
2008-02,12.321,
2008-03,12.453,
2008-04,12.583,
