"",BBK01.OEAC17P,BBK01.OEAC17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:27,
2002-01,0.487,
2002-04,0.528,
2002-07,0.476,
2002-10,0.389,
2003-01,0.392,
2003-04,0.387,
2003-07,0.359,
2003-10,0.336,
2004-01,0.318,
2004-04,0.315,
2004-07,0.309,
2004-10,0.297,
2005-01,0.293,
2005-04,0.314,
2005-07,0.296,
2005-10,0.272,
2006-01,0.277,
2006-04,0.338,
2006-07,0.309,
2006-10,0.308,
2007-01,0.314,
2007-04,0.312,
2007-07,0.299,
2007-10,0.271,
2008-01,0.288,
2008-04,0.317,
2008-07,0.280,
2008-10,0.252,
2009-01,0.276,
2009-04,0.255,
2009-07,0.243,
2009-10,0.227,
2010-01,0.238,
2010-04,0.230,
2010-07,0.249,
2010-10,0.251,
2011-01,0.274,
2011-04,0.287,
2011-07,0.290,
2011-10,0.265,
2012-01,0.296,
2012-04,0.290,
2012-07,0.277,
2012-10,0.255,
2013-01,0.288,
2013-04,0.284,
2013-07,0.327,
2013-10,0.313,
2014-01,0.332,
2014-04,0.306,
2014-07,0.323,
