"",BBAI3.Q.DE.N.V.LE.N.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.N.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Total non-financial assets / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:55,
2005-10,81,
2006-01,72,
2006-04,71,
2006-07,70,
2006-10,86,
2007-01,69,
2007-04,69,
2007-07,68,
2007-10,86,
2008-01,68,
2008-04,66,
2008-07,68,
2008-10,80,
2009-01,66,
2009-04,66,
2009-07,65,
2009-10,79,
2010-01,66,
2010-04,66,
2010-07,65,
2010-10,75,
2011-01,61,
2011-04,61,
2011-07,65,
2011-10,82,
2012-01,73,
2012-04,74,
2012-07,74,
2012-10,85,
2013-01,78,
2013-04,78,
2013-07,78,
2013-10,87,
2014-01,100,
2014-04,103,
2014-07,106,
