"",BBK01.OECB02K,BBK01.OECB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:17,
2002-01,4.348,
2002-04,4.048,
2002-07,3.704,
2002-10,3.444,
2003-01,3.223,
2003-04,3.430,
2003-07,3.516,
2003-10,3.242,
2004-01,3.224,
2004-04,2.854,
2004-07,3.158,
2004-10,6.688,
2005-01,4.643,
2005-04,4.718,
2005-07,4.380,
2005-10,5.788,
2006-01,3.978,
2006-04,4.087,
2006-07,4.842,
2006-10,4.560,
2007-01,3.999,
2007-04,4.117,
2007-07,5.101,
2007-10,5.044,
2008-01,5.751,
2008-04,6.159,
2008-07,6.023,
2008-10,5.611,
2009-01,5.302,
2009-04,4.978,
2009-07,4.671,
2009-10,4.870,
2010-01,5.101,
2010-04,5.013,
2010-07,4.557,
2010-10,4.229,
2011-01,4.326,
2011-04,4.939,
2011-07,5.023,
2011-10,5.033,
2012-01,5.025,
2012-04,5.589,
2012-07,5.789,
2012-10,5.642,
2013-01,5.933,
2013-04,5.761,
2013-07,6.044,
2013-10,6.030,
2014-01,6.084,
2014-04,6.309,
2014-07,6.023,
