"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Czech Republic,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:02,
2009-09,750,
2009-10,829,
2009-11,825,
2009-12,838,
2010-01,795,
2010-02,860,
2010-03,869,
2010-04,974,
2010-05,1003,
2010-06,1118,
2010-07,1148,
2010-08,1199,
2010-09,1348,
2010-10,1360,
2010-11,1337,
2010-12,1324,
2011-01,1326,
2011-02,1287,
2011-03,1249,
2011-04,1298,
2011-05,1328,
2011-06,1475,
2011-07,1506,
2011-08,1546,
2011-09,1564,
2011-10,1557,
2011-11,1522,
2011-12,1553,
2012-01,1550,
2012-02,1833,
2012-03,2006,
2012-04,2038,
2012-05,2068,
2012-06,2102,
2012-07,2250,
2012-08,2359,
2012-09,2344,
2012-10,2650,
2012-11,2682,
2012-12,2696,
2013-01,2600,
2013-02,2541,
2013-03,2543,
2013-04,2706,
2013-05,2811,
2013-06,2707,
2013-07,2697,
2013-08,2649,
2013-09,2549,
2013-10,2487,
2013-11,2452,
2013-12,2416,
2014-01,2401,
2014-02,2425,
2014-03,2409,
2014-04,2302,
2014-05,2248,
2014-06,2233,
2014-07,2198,
2014-08,2195,
2014-09,2164,
2014-10,2208,
2014-11,2176,
