"",BBK01.OEAC60H,BBK01.OEAC60H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:08,
2002-01,12.612,
2002-04,12.697,
2002-07,12.675,
2002-10,12.696,
2003-01,12.505,
2003-04,12.344,
2003-07,12.121,
2003-10,11.973,
2004-01,11.715,
2004-04,11.955,
2004-07,11.866,
2004-10,11.706,
2005-01,11.623,
2005-04,11.528,
2005-07,11.444,
2005-10,11.469,
2006-01,11.467,
2006-04,11.415,
2006-07,11.793,
2006-10,11.639,
2007-01,11.372,
2007-04,11.299,
2007-07,11.183,
2007-10,10.595,
2008-01,10.586,
2008-04,10.483,
2008-07,10.392,
2008-10,10.296,
2009-01,10.074,
2009-04,7.758,
2009-07,7.717,
2009-10,7.710,
2010-01,7.650,
2010-04,7.696,
2010-07,7.636,
2010-10,7.696,
2011-01,7.545,
2011-04,7.527,
2011-07,7.433,
2011-10,7.411,
2012-01,7.349,
2012-04,7.339,
2012-07,7.459,
2012-10,7.393,
2013-01,7.311,
2013-04,7.294,
2013-07,7.268,
2013-10,7.198,
2014-01,7.123,
2014-04,7.150,
2014-07,7.195,
