"",BBK01.OECL04R,BBK01.OECL04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:42,
2002-01,0.043,
2002-04,0.039,
2002-07,0.039,
2002-10,0.040,
2003-01,0.039,
2003-04,0.040,
2003-07,0.038,
2003-10,0.037,
2004-01,0.036,
2004-04,0.037,
2004-07,0.034,
2004-10,0.048,
2005-01,0.085,
2005-04,0.085,
2005-07,0.081,
2005-10,0.078,
2006-01,0.080,
2006-04,0.081,
2006-07,0.083,
2006-10,0.086,
2007-01,0.099,
2007-04,0.102,
2007-07,0.121,
2007-10,0.146,
2008-01,0.173,
2008-04,0.186,
2008-07,0.244,
2008-10,0.255,
2009-01,0.235,
2009-04,0.224,
2009-07,0.171,
2009-10,0.136,
2010-01,0.099,
2010-04,0.085,
2010-07,0.070,
2010-10,0.053,
2011-01,0.051,
2011-04,0.054,
2011-07,0.043,
2011-10,0.059,
2012-01,0.066,
2012-04,0.064,
2012-07,0.060,
2012-10,0.040,
2013-01,0.029,
2013-04,0.029,
2013-07,0.027,
2013-10,0.026,
2014-01,0.025,
2014-04,0.025,
2014-07,0.022,
