"",BBEX3.M.STD.USD.CA.AB.A01,BBEX3.M.STD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Sao Tome and Principe / USD 1 = STD ... (selling),
unit,STD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:08,
1978-01,37.7241,
1978-02,37.3963,
1978-03,37.0937,
1978-04,37.4288,
1978-05,37.7608,
1978-06,36.9843,
1978-07,36.3657,
1978-08,36.0523,
1978-09,35.7635,
1978-10,34.2663,
1978-11,36.0762,
1978-12,35.1150,
1979-01,35.6490,
1979-02,35.6240,
1979-03,35.5764,
1979-04,35.9192,
1979-05,36.2105,
1979-06,35.5268,
1979-07,35.0179,
1979-08,35.2839,
1979-09,34.7918,
1979-10,35.5917,
1979-11,35.1844,
1979-12,34.7857,
1980-01,34.8368,
1980-02,35.0789,
1980-03,36.4147,
1980-04,35.4708,
1980-05,34.8376,
1980-06,34.7662,
1980-07,34.4346,
1980-08,34.8098,
1980-09,34.8397,
1980-10,35.4003,
1980-11,35.7875,
1980-12,36.0257,
1981-01,37.4457,
1981-02,38.1497,
1981-03,38.3025,
1981-04,38.2249,
1981-05,39.2181,
1981-06,39.8189,
1981-07,41.4772,
1981-08,41.4632,
1981-09,40.8805,
1981-10,40.0819,
1981-11,39.1049,
1981-12,39.5162,
1982-01,40.1040,
1982-02,40.5621,
1982-03,41.1750,
1982-04,40.6974,
1982-05,40.6390,
1982-06,42.2258,
1982-07,41.9346,
1982-08,41.9217,
1982-09,42.5803,
1982-10,43.0043,
1982-11,42.6492,
1982-12,41.4855,
1983-01,42.1221,
1983-02,41.9700,
1983-03,42.5897,
1983-04,42.3071,
1983-05,42.4759,
1983-06,42.9764,
1983-07,43.2754,
1983-08,43.7071,
1983-09,43.3935,
1983-10,43.2128,
1983-11,43.7066,
1983-12,43.8411,
1984-01,44.2920,
1984-02,43.4130,
1984-03,42.9425,
1984-04,43.5031,comment
1984-05,44.0326,
1984-06,44.5336,
1984-07,45.2239,
1984-08,45.0328,
1984-09,45.8779,
1984-10,46.1546,
1984-11,46.2146,
1984-12,46.6563,
1985-01,47.0361,
1985-02,48.4216,
1985-03,46.4039,
1985-04,46.6375,
1985-05,46.1056,
1985-06,46.9283,
1985-07,44.6465,
1985-08,44.1800,
1985-09,43.7242,
1985-10,44.2354,
1985-11,43.4461,
1985-12,43.2145,
1986-01,42.6740,
1986-02,41.6340,
1986-03,41.6897,
1986-04,40.0975,
1986-05,41.0609,
1986-06,40.4042,
1986-07,39.7333,
1986-08,39.0855,
1986-09,39.2254,
1986-10,39.4078,
1986-11,39.4291,
1986-12,38.7805,
1987-01,37.4362,
1987-02,37.6110,
1987-03,37.0913,
1987-04,35.1229,
1987-05,36.9056,
1987-06,36.8866,
1987-07,82.4577,comment
1987-08,80.1730,
1987-09,80.3180,
1987-10,77.9600,
1987-11,75.7590,
1987-12,73.9190,
1988-01,76.3090,
1988-02,76.8370,
1988-03,76.0550,
1988-04,76.1090,
1988-05,77.5600,
1988-06,80.2060,
1988-07,101.7910,comment
1988-08,102.9720,
1988-09,103.3130,
1988-10,99.6280,
1988-11,97.5900,
1988-12,99.6490,
1989-01,102.4510,
1989-02,120.9600,comment
1989-03,124.3190,
1989-04,123.8900,
1989-05,130.2150,
1989-06,128.3750,
1989-07,124.9380,
1989-08,127.4100,
1989-09,126.0770,
1989-10,136.5910,
1989-11,148.5170,
1989-12,144.1810,
1990-01,141.5520,
1990-02,142.2440,
1990-03,144.1680,
1990-04,143.2450,
1990-05,153.2440,
1990-06,152.6960,
1990-07,149.0570,
1990-08,144.9890,
1990-09,146.4610,
1990-10,141.9020,
1990-11,140.6630,
1990-12,143.0970,
1991-01,140.5900,
1991-02,142.8270,
1991-03,154.3360,
1991-04,158.1580,
1991-05,187.6570,comment
1991-06,194.5980,
1991-07,190.1460,
1991-08,186.2400,
1991-09,269.2760,comment
1991-10,278.4770,
1991-11,280.1140,
1991-12,282.8210,
1992-01,290.2560,
1992-02,296.4550,
1992-03,303.4550,
1992-04,312.4840,
1992-05,311.8120,
1992-06,315.2480,
1992-07,324.1250,
1992-08,326.1560,
1992-09,338.0580,
1992-10,356.3940,
1992-11,372.2410,
1992-12,379.2950,
1993-01,380.8500,
1993-02,397.2300,
1993-03,400.5700,
1993-04,397.9600,
1993-05,412.6740,
1993-06,433.0070,
1993-07,453.4790,
1993-08,456.2600,
1993-09,458.3180,
1993-10,474.0560,
1993-11,488.4490,
1993-12,521.8580,
1994-01,596.8050,
1994-02,606.7560,
1994-03,614.7910,
1994-04,617.8980,
1994-05,623.7930,
1994-06,650.7010,
1994-07,750.3650,
1994-08,814.6230,
1994-09,824.2920,
1994-10,836.6530,
1994-11,959.3770,
1994-12,1228.8605,
1995-01,1622.0700,
1995-02,1255.3809,
1995-03,1207.9603,
1995-04,1190.0538,
1995-05,1270.7815,
1995-06,1271.1462,
1995-07,1280.1452,
1995-08,1385.8088,
1995-09,1475.7441,
1995-10,1781.2251,
1995-11,1786.4509,
1995-12,1774.4444,
1996-01,1870.6544,
1996-02,1889.2051,
1996-03,2005.5105,
1996-04,2148.3251,
1996-05,2340.3703,
1996-06,2408.9791,
1996-07,2342.4808,
1996-08,2302.9538,
1996-09,2300.0721,
1996-10,2313.4933,
1996-11,2344.5813,
1996-12,2861.5412,
1997-01,3027.8196,
1997-02,3251.8051,
1997-03,3418.4366,
1997-04,3930.6410,
1997-05,4393.2456,
1997-06,4658.7828,
1997-07,4916.6222,
1997-08,5086.4285,
1997-09,5241.8798,
1997-10,5658.9289,
1997-11,6368.9862,
1997-12,7039.4287,
1998-01,6961.9471,
1998-02,6961.9419,
1998-03,6951.8309,
1998-04,6954.9997,
1998-05,6973.9496,
1998-06,6973.6903,
1998-07,6924.7073,
1998-08,6924.0952,
1998-09,6957.9471,
1998-10,6958.6046,
1998-11,6970.0000,
1998-12,6970.0000,
1999-01,6970.0000,
1999-02,6995.0000,
1999-03,7010.0000,
1999-04,7135.5000,
1999-05,7135.5000,
1999-06,7236.0000,
1999-07,7236.0000,
1999-08,7236.0000,
1999-09,7236.0000,
1999-10,7350.0000,
1999-11,7350.0000,
1999-12,7350.0000,
2000-01,7400.0000,
2000-02,7400.0000,
2000-03,7500.0000,
2000-04,7525.0000,
2000-05,7800.0000,
2000-06,8302.9000,
2000-07,8271.6500,
2000-08,8279.3500,
2000-09,8286.5300,
2000-10,8807.2400,
2000-11,8686.8500,
2000-12,8653.7000,
2001-01,8637.2400,
2001-02,8656.4000,
2001-03,8874.6400,
2001-04,8897.8700,
2001-05,9035.3300,
2001-06,9042.8300,
2001-07,9020.2100,
2001-08,8923.1700,
2001-09,8944.9800,
2001-10,9027.2500,
2001-11,9084.3500,
2001-12,9090.3300,
2002-01,9156.9400,
2002-02,9025.2300,
2002-03,9086.8200,
2002-04,9082.7700,
2002-05,9144.2700,
2002-06,9142.2400,
2002-07,9162.4700,
2002-08,9166.9800,
2002-09,9255.2100,
2002-10,9274.4200,
2002-11,9276.1200,
2002-12,9278.7000,
2003-01,9270.9800,
2003-02,9359.7600,
2003-03,9407.2700,
2003-04,9410.2900,
2003-05,9406.9900,
2003-06,9432.9800,
2003-07,9432.0100,
2003-08,9562.2800,
2003-09,9470.4300,
2003-10,9558.0200,
2003-11,9587.4500,
2003-12,9544.6500,
2004-01,9599.1500,
2004-02,9654.5700,
2004-03,9798.4100,
2004-04,9881.2400,
2004-05,10029.0800,
2004-06,10126.4500,
2004-07,10183.2800,
2004-08,10250.4500,
2004-09,10250.6400,
2004-10,10158.7200,
2004-11,10245.9900,
2004-12,10236.5400,
2005-01,10252.3100,
2005-02,10268.9900,
2005-03,10309.8000,
2005-04,10365.6100,
2005-05,10365.9700,
2005-06,10366.1800,
2005-07,10366.2900,
2005-08,10450.1700,
2005-09,10993.2300,
2005-10,11621.0500,
2005-11,12059.8700,
2005-12,12111.3700,
2006-01,12334.7200,
2006-02,12238.8300,
2006-03,11865.0200,
2006-04,12059.6800,
2006-05,12564.4100,
2006-06,12711.7700,
2006-07,12721.7200,
2006-08,12755.7500,
2006-09,12799.3600,
2006-10,13070.4700,
2006-11,13139.8000,
2006-12,13203.3200,
2007-01,13224.9500,
2007-02,13422.3900,
2007-03,13426.9600,
2007-04,13577.1500,
2007-05,13629.2300,
2007-06,13631.9700,
2007-07,13635.8200,
2007-08,13623.4900,
2007-09,13879.4100,
2007-10,13889.3600,
2007-11,14233.4800,
2007-12,14504.4700,
2008-01,14764.2400,
2008-02,14764.1700,
2008-03,14888.2100,
2008-04,14881.7600,
2008-05,14858.9300,
2008-06,14773.1600,
2008-07,14746.2800,
2008-08,14782.3900,
2008-09,14649.6800,
2008-10,14868.3400,
2008-11,14856.9100,
2008-12,15378.8100,
2009-01,16883.7200,
2009-02,17334.3600,
2009-03,16795.0100,
2009-04,16706.7700,
2009-05,16020.3400,
2009-06,15739.1200,
2009-07,15793.4400,
2009-08,15866.1800,
2009-09,16177.9400,
2009-10,16386.3700,
2009-11,16310.3200,
2009-12,16980.8900,
2010-01,17763.7700,
2010-02,18435.3900,
2010-03,18444.9600,
2010-04,18759.4300,
2010-05,20080.3500,
2010-06,20099.8200,comment
2010-07,19027.8500,
2010-08,19580.7100,
2010-09,18475.1100,
2010-10,17945.8000,
2010-11,18916.4000,
2010-12,18725.5300,
2011-01,18138.2200,
2011-02,18069.6800,
2011-03,17649.0400,
2011-04,16809.1800,
2011-05,17423.9800,
2011-06,17239.1700,
2011-07,17438.6400,
2011-08,17266.7000,
2011-09,18243.3400,
2011-10,17714.4200,
2011-11,18646.9000,
2011-12,19293.5800,
2012-01,18917.8400,
2012-02,18483.3500,
2012-03,19029.3100,comment
2012-04,18817.6300,
2012-05,19789.5100,
2012-06,20025.3700,
2012-07,20306.6300,
2012-08,19824.2200,
2012-09,19359.6700,
2012-10,19184.9300,
2012-11,19137.6800,
2012-12,18863.3100,
2013-01,18364.6000,
2013-02,18987.1700,
2013-03,19420.1500,
2013-04,18964.0100,
2013-05,19211.6000,
2013-06,19081.8800,
2013-07,18719.8900,
2013-08,18745.2900,
2013-09,18421.7300,
2013-10,18078.8800,
2013-11,18295.6900,
2013-12,18042.1500,
2014-01,18274.1800,
2014-02,18002.9700,
2014-03,18074.9400,
2014-04,17948.3900,
2014-05,18233.9800,
2014-06,18276.8600,
2014-07,18556.4500,
2014-08,18870.4700,
2014-09,19531.5000,
2014-10,19739.2400,
2014-11,19925.8800,
2014-12,20388.2100,
2015-01,21977.4600,
2015-02,21973.5800,
"","General: The unit of account for 1,000 dobras is 1 conto.",
"","Source: Since November 1993 Banco Central de São Tomé e Príncipe, São Tomé 1978 - October 1993 Banco Nacional de São Tomé e Príncipe, São Tomé",
"",Comment on 1984-04: Exchange rate as of 26 April 1984.,
"","Comment on 1987-07: On 22 July 1987, the dobra was devalued. We recorded the following exchange rates (buying/selling rate):21 July 1987 USD 1 = STD 36.1385 / 38.373922 July 1987 USD 1 = STD 75.8825 / 80.5763.Calculated using this exchange rates the dobra was devalued against the US dollar by 52.4%.",
"","Comment on 1988-07: On 22 July 1988, the dobra was devalued. We recorded the following exchange rates (buying/selling rate):21 July 1988 USD 1 = STD 79.3480 / 81.764022 July 1988 USD 1 = STD 98.5040 / 101.5040.Calculated using this exchange rates the dobra was devalued against the US dollar by 19.4%.",
"","Comment on 1989-02: On 13 February 1989, the dobra was devalued. We recorded the following exchange rates (buying/selling rate):10 February 1989 USD 1 = STD 99.1940 / 102.216013 February 1989 USD 1 = STD 118.2010 / 121.8010.Calculated using this exchange rates the dobra was devalued against the US dollar by 16.1%.",
"","Comment on 1991-05: On 16 May 1991, the dobra was devalued. We recorded the following exchange rates (buying/selling rate):15 May 1991 USD 1 = STD 150.5180 / 155.102016 May 1991 USD 1 = STD 185.1540 / 188.8940.Calculated using this exchange rates the dobra was devalued against the US dollar by 18.3% (middle rate).",
"","Comment on 1991-09: On 2 September 1991, the dobra was devalued. We recorded the following exchange rates (buying/selling rate):31 August 1991 USD 1 = STD 182.5520 / 186.24002 September 1991 USD 1 = STD 257.4100 / 262.6100.Calculated using this exchange rates the dobra was devalued against the US dollar by 29.1%.",
"",Comment on 2010-06: Exchange rate as of 21 June 2010.,
"",Comment on 2012-03: Exchange rate as of 6 April 2012.,
