"",BBFB1.Q.N.DE.AU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:46,
1991-01,22.067,
1991-04,23.740,
1991-07,22.148,
1991-10,21.376,
1992-01,22.801,
1992-04,23.443,
1992-07,25.526,
1992-10,26.442,
1993-01,23.898,
1993-04,25.645,
1993-07,23.878,
1993-10,24.312,
1994-01,22.214,
1994-04,25.645,
1994-07,25.156,
1994-10,24.342,
1995-01,26.635,
1995-04,28.122,
1995-07,25.101,
1995-10,25.768,
1996-01,27.842,
1996-04,26.280,
1996-07,28.938,
1996-10,26.999,
1997-01,28.755,
1997-04,28.932,
1997-07,32.547,
1997-10,29.355,
1998-01,28.517,
1998-04,27.959,
1998-07,30.863,
1998-10,29.181,
1999-01,27.818,
1999-04,28.425,
1999-07,29.499,
1999-10,37.210,
2000-01,29.378,
2000-04,28.752,
2000-07,43.857,
2000-10,35.929,
2001-01,40.898,
2001-04,28.980,
2001-07,34.746,
2001-10,28.845,
2002-01,27.947,
2002-04,34.518,
2002-07,28.637,
2002-10,27.600,
2003-01,33.599,
2003-04,28.201,
2003-07,30.623,
2003-10,31.306,
2004-01,33.678,
2004-04,31.231,
2004-07,41.844,
2004-10,33.611,
2005-01,38.639,
2005-04,38.207,
2005-07,36.103,
2005-10,36.036,
2006-01,47.227,
2006-04,39.778,
2006-07,37.924,
2006-10,39.708,
2007-01,34.432,
2007-04,37.399,
2007-07,35.860,
2007-10,33.258,
2008-01,39.409,
2008-04,42.024,
2008-07,39.855,
2008-10,41.629,
2009-01,32.993,
2009-04,38.042,
2009-07,41.642,
2009-10,36.727,
2010-01,37.195,
2010-04,105.299,
2010-07,60.541,
2010-10,64.495,
2011-01,64.862,
2011-04,43.166,
2011-07,36.710,
2011-10,34.938,
2012-01,37.848,
2012-04,34.770,
2012-07,38.594,
2012-10,37.590,
2013-01,33.593,
2013-04,34.550,
2013-07,36.455,
2013-10,37.585,
2014-01,28.151,Provisional value
2014-04,29.706,Provisional value
2014-07,31.325,Provisional value
