"",BBDE1.M.DE.W.AEN1.A2P330000.F.V.I10.A,BBDE1.M.DE.W.AEN1.A2P330000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Durable goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:59,
2010-01,91.7,
2010-02,90.7,
2010-03,105.8,
2010-04,93.0,
2010-05,99.6,
2010-06,95.8,
2010-07,95.0,
2010-08,92.7,
2010-09,116.0,
2010-10,118.7,
2010-11,111.4,
2010-12,82.8,
2011-01,101.4,
2011-02,105.4,
2011-03,112.9,
2011-04,108.0,
2011-05,106.3,
2011-06,104.5,
2011-07,114.1,
2011-08,105.4,
2011-09,134.0,
2011-10,124.5,
2011-11,117.2,
2011-12,88.8,
2012-01,106.2,
2012-02,102.6,
2012-03,116.4,
2012-04,100.3,
2012-05,96.4,
2012-06,94.6,
2012-07,98.4,
2012-08,96.7,
2012-09,114.8,
2012-10,112.1,
2012-11,103.6,
2012-12,80.4,
2013-01,104.5,
2013-02,101.8,
2013-03,114.3,
2013-04,102.3,
2013-05,95.6,
2013-06,103.0,
2013-07,99.0,
2013-08,92.8,
2013-09,113.6,
2013-10,117.3,
2013-11,108.7,
2013-12,81.4,
2014-01,102.6,
2014-02,99.9,
2014-03,113.8,
2014-04,107.5,
2014-05,96.8,
2014-06,107.1,
2014-07,100.3,
2014-08,95.7,
2014-09,110.2,
2014-10,111.0,
2014-11,107.6,
2014-12,86.3,Provisional value
