"",BBK01.OEAB03P,BBK01.OEAB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:49,
2002-01,1.929,
2002-04,1.865,
2002-07,1.863,
2002-10,1.806,
2003-01,1.764,
2003-04,1.784,
2003-07,1.810,
2003-10,1.778,
2004-01,1.751,
2004-04,1.864,
2004-07,1.769,
2004-10,1.779,
2005-01,1.735,
2005-04,1.807,
2005-07,1.727,
2005-10,1.662,
2006-01,1.710,
2006-04,1.697,
2006-07,1.703,
2006-10,1.839,
2007-01,1.839,
2007-04,1.883,
2007-07,1.907,
2007-10,2.103,
2008-01,2.184,
2008-04,2.463,
2008-07,2.617,
2008-10,2.626,
2009-01,2.625,
2009-04,2.655,
2009-07,2.701,
2009-10,2.771,
2010-01,2.732,
2010-04,2.173,
2010-07,2.261,
2010-10,2.539,
2011-01,2.610,
2011-04,2.759,
2011-07,3.092,
2011-10,3.166,
2012-01,3.170,
2012-04,3.272,
2012-07,3.257,
2012-10,3.216,
2013-01,3.243,
2013-04,3.021,
2013-07,3.090,
2013-10,3.106,
2014-01,3.075,
2014-04,3.073,
2014-07,3.033,
