"",BBK01.OEXI08H,BBK01.OEXI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:13,
2002-01,3.671,
2002-04,3.616,
2002-07,3.529,
2002-10,3.604,
2003-01,3.563,
2003-04,3.650,
2003-07,3.802,
2003-10,3.972,
2004-01,3.978,
2004-04,3.583,
2004-07,3.844,
2004-10,4.142,
2005-01,4.486,
2005-04,4.731,
2005-07,5.017,
2005-10,5.174,
2006-01,5.118,
2006-04,4.959,
2006-07,4.728,
2006-10,4.586,
2007-01,4.321,
2007-04,4.161,
2007-07,3.916,
2007-10,3.934,
2008-01,3.820,
2008-04,3.661,
2008-07,3.504,
2008-10,3.517,
2009-01,3.774,
2009-04,3.956,
2009-07,4.438,
2009-10,4.887,
2010-01,5.131,
2010-04,5.100,
2010-07,5.262,
2010-10,5.796,
2011-01,6.168,
2011-04,5.983,
2011-07,6.072,
2011-10,7.283,
2012-01,8.209,
2012-04,8.201,
2012-07,8.174,
2012-10,8.270,
2013-01,8.216,
2013-04,7.842,
2013-07,7.585,
2013-10,7.278,
2014-01,6.861,
2014-04,6.675,
2014-07,6.602,
