"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:47,
1991-01,-324.513,
1991-04,146.167,
1991-07,-2226.094,
1991-10,557.078,
1992-01,147.064,
1992-04,-2617.515,
1992-07,167.316,
1992-10,-199.293,
1993-01,1038.236,
1993-04,1518.210,
1993-07,146.333,
1993-10,671.966,
1994-01,1074.794,
1994-04,-71.153,
1994-07,-1411.258,
1994-10,2376.610,
1995-01,2276.014,
1995-04,1780.058,
1995-07,2314.397,
1995-10,4189.091,
1996-01,-1353.422,
1996-04,2785.381,
1996-07,984.382,
1996-10,1080.662,
1997-01,5574.137,
1997-04,3804.470,
1997-07,1870.038,
1997-10,4843.566,
1998-01,3199.777,
1998-04,1520.287,
1998-07,5447.312,
1998-10,3199.372,
1999-01,3466.463,
1999-04,7230.827,
1999-07,9880.615,
1999-10,13530.530,
2000-01,9265.753,
2000-04,-2212.925,
2000-07,4919.821,
2000-10,12939.139,
2001-01,27655.571,
2001-04,4121.695,
2001-07,10877.323,
2001-10,-23197.665,
2002-01,8363.827,
2002-04,2400.042,
2002-07,-12607.653,
2002-10,-18234.475,
2003-01,-1127.064,
2003-04,-1151.170,
2003-07,-1380.420,
2003-10,-4954.706,
2004-01,4307.763,
2004-04,-4814.071,
2004-07,-2500.510,
2004-10,-10332.112,
2005-01,3943.175,
2005-04,-3438.107,
2005-07,-276.994,
2005-10,-5147.338,
2006-01,-4883.539,
2006-04,-3870.007,
2006-07,4419.233,
2006-10,-8789.327,
2007-01,-4335.539,
2007-04,5921.963,
2007-07,14430.171,
2007-10,-9702.860,
2008-01,12038.313,
2008-04,9685.670,
2008-07,-11268.693,
2008-10,6786.014,
2009-01,22395.836,
2009-04,3336.781,
2009-07,-11021.528,
2009-10,-17566.953,
2010-01,-6166.853,
2010-04,15624.556,
2010-07,-1171.039,
2010-10,2855.565,
2011-01,8914.362,
2011-04,517.868,
2011-07,-1478.437,
2011-10,-952.743,
2012-01,4278.828,
2012-04,600.451,
2012-07,11199.685,
2012-10,-10151.691,
2013-01,-979.886,
2013-04,-1473.844,
2013-07,-6065.127,
2013-10,-5857.713,
2014-01,-278.776,Provisional value
2014-04,-6535.985,Provisional value
2014-07,-602.386,Provisional value
2014-10,2230.891,Provisional value
