"",BBK01.OEAC09O,BBK01.OEAC09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:29,
2002-01,21.021,
2002-04,21.831,
2002-07,22.426,
2002-10,22.322,
2003-01,21.824,
2003-04,20.875,
2003-07,20.243,
2003-10,22.411,
2004-01,22.274,
2004-04,22.565,
2004-07,22.708,
2004-10,22.847,
2005-01,22.756,
2005-04,22.943,
2005-07,22.917,
2005-10,22.285,
2006-01,22.226,
2006-04,22.173,
2006-07,22.233,
2006-10,21.965,
2007-01,22.043,
2007-04,22.193,
2007-07,22.162,
2007-10,22.060,
2008-01,22.272,
2008-04,22.246,
2008-07,20.622,
2008-10,19.563,
2009-01,19.077,
2009-04,18.526,
2009-07,18.462,
2009-10,19.587,
2010-01,20.873,
2010-04,20.295,
2010-07,20.040,
2010-10,20.258,
2011-01,19.497,
2011-04,19.356,
2011-07,19.297,
2011-10,19.103,
2012-01,19.631,
2012-04,20.374,
2012-07,20.108,
2012-10,20.465,
2013-01,20.291,
2013-04,19.983,
2013-07,23.656,
2013-10,23.926,
2014-01,24.310,
2014-04,24.297,
2014-07,23.876,
