"",BBK01.OEHM02N,BBK01.OEHM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:31,
2002-01,1.296,
2002-04,1.396,
2002-07,1.170,
2002-10,1.820,
2003-01,1.057,
2003-04,1.385,
2003-07,1.025,
2003-10,1.472,
2004-01,1.106,
2004-04,1.286,
2004-07,1.178,
2004-10,1.213,
2005-01,1.053,
2005-04,1.390,
2005-07,1.134,
2005-10,1.343,
2006-01,0.983,
2006-04,1.194,
2006-07,1.224,
2006-10,1.375,
2007-01,1.156,
2007-04,1.432,
2007-07,1.536,
2007-10,1.551,
2008-01,1.590,
2008-04,1.670,
2008-07,1.546,
2008-10,1.734,
2009-01,1.747,
2009-04,1.909,
2009-07,1.518,
2009-10,1.991,
2010-01,1.499,
2010-04,1.822,
2010-07,1.773,
2010-10,2.267,
2011-01,1.790,
2011-04,1.871,
2011-07,1.750,
2011-10,1.722,
2012-01,1.788,
2012-04,1.975,
2012-07,2.008,
2012-10,2.343,
2013-01,1.967,
2013-04,1.885,
2013-07,1.873,
2013-10,2.414,
2014-01,1.939,
2014-04,2.032,
2014-07,2.224,
