"",BBK01.OXA8Q2,BBK01.OXA8Q2_FLAGS
"","Stocks of loans to domestic non-banks (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:31,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,59.631,
2010-07,61.420,
2010-08,59.314,
2010-09,57.859,
2010-10,59.414,
2010-11,58.045,
2010-12,56.182,
2011-01,54.622,
2011-02,53.840,
2011-03,52.638,
2011-04,51.822,
2011-05,50.843,
2011-06,49.578,
2011-07,50.585,
2011-08,50.663,
2011-09,49.809,
2011-10,49.911,
2011-11,50.662,
2011-12,49.324,
2012-01,49.469,
2012-02,48.622,
2012-03,47.189,
2012-04,47.227,
2012-05,46.144,
2012-06,44.949,
2012-07,43.183,
2012-08,42.437,
2012-09,41.584,
2012-10,38.633,
2012-11,38.869,
2012-12,37.949,
2013-01,37.232,
2013-02,37.784,
2013-03,39.467,
2013-04,38.601,
2013-05,38.056,
2013-06,39.063,
2013-07,39.154,
2013-08,38.427,
2013-09,37.466,
2013-10,37.372,
2013-11,36.698,
2013-12,35.754,
2014-01,35.088,
2014-02,34.154,
2014-03,35.226,
2014-04,36.618,
2014-05,36.391,
2014-06,35.562,
2014-07,34.797,
2014-08,34.328,
2014-09,36.812,
2014-10,36.108,
2014-11,35.724,
2014-12,34.781,Provisional value
