"",BBK01.OELL03S,BBK01.OELL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:56,
2002-01,0.238,
2002-04,0.240,
2002-07,0.247,
2002-10,0.257,
2003-01,0.257,
2003-04,0.249,
2003-07,0.246,
2003-10,0.247,
2004-01,0.245,
2004-04,0.236,
2004-07,0.230,
2004-10,0.227,
2005-01,0.221,
2005-04,0.196,
2005-07,0.208,
2005-10,0.203,
2006-01,0.207,
2006-04,0.210,
2006-07,0.208,
2006-10,0.199,
2007-01,0.190,
2007-04,0.197,
2007-07,0.197,
2007-10,0.221,
2008-01,0.212,
2008-04,0.220,
2008-07,0.160,
2008-10,0.196,
2009-01,0.200,
2009-04,0.180,
2009-07,0.156,
2009-10,0.126,
2010-01,0.118,
2010-04,0.117,
2010-07,0.111,
2010-10,0.109,
2011-01,0.113,
2011-04,0.108,
2011-07,0.106,
2011-10,0.128,
2012-01,0.135,
2012-04,0.131,
2012-07,0.124,
2012-10,0.114,
2013-01,0.106,
2013-04,0.104,
2013-07,0.104,
2013-10,0.100,
2014-01,0.105,
2014-04,0.108,
2014-07,0.103,
