"",BBK01.OELK04U,BBK01.OELK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:35,
2002-01,0.064,
2002-04,0.059,
2002-07,0.061,
2002-10,0.061,
2003-01,0.059,
2003-04,0.059,
2003-07,0.057,
2003-10,0.053,
2004-01,0.051,
2004-04,0.049,
2004-07,0.050,
2004-10,0.053,
2005-01,0.053,
2005-04,0.052,
2005-07,0.051,
2005-10,0.057,
2006-01,0.060,
2006-04,0.060,
2006-07,0.060,
2006-10,0.062,
2007-01,0.059,
2007-04,0.060,
2007-07,0.058,
2007-10,0.059,
2008-01,0.064,
2008-04,0.063,
2008-07,0.065,
2008-10,0.070,
2009-01,0.056,
2009-04,0.048,
2009-07,0.041,
2009-10,0.038,
2010-01,0.034,
2010-04,0.034,
2010-07,0.033,
2010-10,0.033,
2011-01,0.033,
2011-04,0.033,
2011-07,0.033,
2011-10,0.034,
2012-01,0.037,
2012-04,0.036,
2012-07,0.035,
2012-10,0.035,
2013-01,0.033,
2013-04,0.034,
2013-07,0.035,
2013-10,0.032,
2014-01,0.032,
2014-04,0.029,
2014-07,0.028,
