"",BBK01.OECO03S,BBK01.OECO03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:30,
2002-01,0.102,
2002-04,0.171,
2002-07,0.055,
2002-10,0.062,
2003-01,0.077,
2003-04,0.075,
2003-07,0.061,
2003-10,0.097,
2004-01,0.080,
2004-04,0.067,
2004-07,0.061,
2004-10,0.065,
2005-01,0.180,
2005-04,0.164,
2005-07,0.151,
2005-10,0.136,
2006-01,0.188,
2006-04,0.161,
2006-07,0.213,
2006-10,0.194,
2007-01,0.243,
2007-04,0.169,
2007-07,0.164,
2007-10,0.181,
2008-01,0.200,
2008-04,0.169,
2008-07,0.142,
2008-10,0.170,
2009-01,0.198,
2009-04,0.144,
2009-07,0.168,
2009-10,0.162,
2010-01,0.206,
2010-04,0.150,
2010-07,0.093,
2010-10,0.114,
2011-01,0.159,
2011-04,0.141,
2011-07,0.156,
2011-10,0.122,
2012-01,0.191,
2012-04,0.134,
2012-07,0.125,
2012-10,0.111,
2013-01,0.214,
2013-04,0.135,
2013-07,0.130,
2013-10,0.109,
2014-01,0.094,
2014-04,0.089,
2014-07,0.109,
