"",BBK01.OEAA20L,BBK01.OEAA20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:23,
2002-01,0.627,
2002-04,0.583,
2002-07,0.535,
2002-10,0.470,
2003-01,0.434,
2003-04,0.466,
2003-07,0.445,
2003-10,0.407,
2004-01,0.400,
2004-04,0.399,
2004-07,0.403,
2004-10,0.409,
2005-01,0.343,
2005-04,0.338,
2005-07,0.331,
2005-10,0.363,
2006-01,0.301,
2006-04,0.329,
2006-07,0.271,
2006-10,0.293,
2007-01,0.239,
2007-04,0.261,
2007-07,0.200,
2007-10,0.341,
2008-01,0.212,
2008-04,0.149,
2008-07,0.169,
2008-10,0.137,
2009-01,0.092,
2009-04,0.084,
2009-07,0.081,
2009-10,0.099,
2010-01,0.090,
2010-04,0.067,
2010-07,0.065,
2010-10,0.130,
2011-01,0.051,
2011-04,0.032,
2011-07,0.063,
2011-10,0.084,
2012-01,0.048,
2012-04,0.024,
2012-07,0.041,
2012-10,0.046,
2013-01,0.042,
2013-04,0.028,
2013-07,0.021,
2013-10,0.037,
2014-01,0.022,
2014-04,0.016,
2014-07,0.027,
