"",BBK01.OEAG05Q,BBK01.OEAG05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:32,
2002-01,0.035,
2002-04,0.037,
2002-07,0.041,
2002-10,0.042,
2003-01,0.036,
2003-04,0.036,
2003-07,0.036,
2003-10,0.036,
2004-01,0.035,
2004-04,0.053,
2004-07,0.050,
2004-10,0.050,
2005-01,0.056,
2005-04,0.056,
2005-07,0.059,
2005-10,0.060,
2006-01,0.059,
2006-04,0.057,
2006-07,0.056,
2006-10,0.056,
2007-01,0.053,
2007-04,0.053,
2007-07,0.044,
2007-10,0.037,
2008-01,0.038,
2008-04,0.061,
2008-07,0.060,
2008-10,0.059,
2009-01,0.056,
2009-04,0.054,
2009-07,0.051,
2009-10,0.051,
2010-01,0.050,
2010-04,0.047,
2010-07,0.101,
2010-10,0.104,
2011-01,0.104,
2011-04,0.097,
2011-07,0.095,
2011-10,0.094,
2012-01,0.093,
2012-04,0.088,
2012-07,0.087,
2012-10,0.087,
2013-01,0.087,
2013-04,0.085,
2013-07,0.081,
2013-10,0.081,
2014-01,0.081,
2014-04,0.073,
2014-07,0.078,
