"",BBK01.OEAD36J,BBK01.OEAD36J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:29,
2002-01,0.106,
2002-04,0.103,
2002-07,0.108,
2002-10,0.105,
2003-01,0.096,
2003-04,0.097,
2003-07,0.094,
2003-10,0.094,
2004-01,0.106,
2004-04,0.105,
2004-07,0.091,
2004-10,0.105,
2005-01,0.108,
2005-04,0.112,
2005-07,0.113,
2005-10,0.126,
2006-01,0.128,
2006-04,0.140,
2006-07,0.140,
2006-10,0.141,
2007-01,0.150,
2007-04,0.147,
2007-07,0.163,
2007-10,0.177,
2008-01,0.192,
2008-04,0.207,
2008-07,0.230,
2008-10,0.257,
2009-01,0.247,
2009-04,0.255,
2009-07,0.240,
2009-10,0.226,
2010-01,0.166,
2010-04,0.198,
2010-07,0.192,
2010-10,0.186,
2011-01,0.188,
2011-04,0.181,
2011-07,0.207,
2011-10,0.151,
2012-01,0.144,
2012-04,0.143,
2012-07,0.123,
2012-10,0.133,
2013-01,0.146,
2013-04,0.143,
2013-07,0.123,
2013-10,0.119,
2014-01,0.113,
2014-04,0.108,
2014-07,0.091,
