"",BBK01.OEXB08R,BBK01.OEXB08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:48,
2002-01,4.182,
2002-04,4.249,
2002-07,4.326,
2002-10,4.434,
2003-01,4.422,
2003-04,4.492,
2003-07,4.535,
2003-10,4.617,
2004-01,4.644,
2004-04,4.657,
2004-07,4.695,
2004-10,4.384,
2005-01,4.408,
2005-04,4.483,
2005-07,4.512,
2005-10,4.532,
2006-01,4.630,
2006-04,4.759,
2006-07,4.906,
2006-10,5.053,
2007-01,5.180,
2007-04,5.241,
2007-07,5.334,
2007-10,5.601,
2008-01,8.810,
2008-04,5.866,
2008-07,5.917,
2008-10,6.023,
2009-01,6.025,
2009-04,6.164,
2009-07,6.312,
2009-10,6.581,
2010-01,6.838,
2010-04,6.989,
2010-07,7.235,
2010-10,7.447,
2011-01,7.579,
2011-04,7.728,
2011-07,7.852,
2011-10,8.149,
2012-01,8.293,
2012-04,8.433,
2012-07,8.598,
2012-10,8.802,
2013-01,8.877,
2013-04,9.014,
2013-07,9.136,
2013-10,9.396,
2014-01,9.559,
2014-04,9.466,
2014-07,9.548,
