"",BBK01.OEGB23I,BBK01.OEGB23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:06,
2002-01,0.004,
2002-04,0.004,
2002-07,0.001,
2002-10,0.001,
2003-01,0.282,
2003-04,0.333,
2003-07,0.333,
2003-10,0.333,
2004-01,0.333,
2004-04,0.332,
2004-07,0.332,
2004-10,0.332,
2005-01,0.332,
2005-04,0.332,
2005-07,0.332,
2005-10,0.338,
2006-01,0.440,
2006-04,0.494,
2006-07,0.676,
2006-10,0.861,
2007-01,0.615,
2007-04,0.930,
2007-07,0.624,
2007-10,0.611,
2008-01,0.609,
2008-04,0.612,
2008-07,0.615,
2008-10,0.535,
2009-01,0.532,
2009-04,1.541,
2009-07,1.550,
2009-10,1.534,
2010-01,1.475,
2010-04,1.354,
2010-07,1.321,
2010-10,1.210,
2011-01,3.313,
2011-04,3.213,
2011-07,2.653,
2011-10,2.561,
2012-01,2.441,
2012-04,2.143,
2012-07,1.913,
2012-10,1.887,
2013-01,1.607,
2013-04,1.607,
2013-07,1.727,
2013-10,1.725,
2014-01,1.590,
2014-04,1.025,
2014-07,1.025,
