"",BBFN1.M.DE.N.1.A.B0.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:11,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,0.604,
1995-02,0.562,
1995-03,0.517,
1995-04,0.491,
1995-05,0.518,
1995-06,0.425,
1995-07,0.422,
1995-08,0.440,
1995-09,0.465,
1995-10,0.459,
1995-11,0.504,
1995-12,0.409,
1996-01,0.377,
1996-02,0.417,
1996-03,0.419,
1996-04,0.432,
1996-05,0.457,
1996-06,0.340,
1996-07,0.321,
1996-08,0.357,
1996-09,0.368,
1996-10,0.366,
1996-11,0.384,
1996-12,0.437,
1997-01,0.472,
1997-02,0.479,
1997-03,0.478,
1997-04,0.506,
1997-05,0.532,
1997-06,0.436,
1997-07,0.449,
1997-08,0.471,
1997-09,0.483,
1997-10,0.499,
1997-11,0.584,
1997-12,0.568,
1998-01,0.587,
1998-02,0.633,
1998-03,0.552,
1998-04,0.682,
1998-05,0.629,
1998-06,0.519,
1998-07,0.555,
1998-08,0.655,
1998-09,0.683,
1998-10,0.614,
1998-11,0.628,
1998-12,0.669,
1999-01,0.798,
1999-02,0.761,
1999-03,0.746,
1999-04,0.708,
1999-05,0.793,
1999-06,0.661,
1999-07,0.584,
1999-08,0.611,
1999-09,0.513,
1999-10,0.586,
1999-11,0.583,
1999-12,0.591,
2000-01,0.606,
2000-02,0.629,
2000-03,0.618,
2000-04,0.615,
2000-05,0.622,
2000-06,0.550,
2000-07,0.629,
2000-08,0.740,
2000-09,0.749,
2000-10,0.735,
2000-11,0.877,
2000-12,0.766,
2001-01,0.809,
2001-02,0.822,
2001-03,0.862,
2001-04,0.832,
2001-05,0.847,
2001-06,0.899,
2001-07,0.837,
2001-08,1.597,
2001-09,1.333,
2001-10,1.606,
2001-11,1.672,
2001-12,1.890,
2002-01,1.274,
2002-02,1.524,
2002-03,1.943,
2002-04,1.993,
2002-05,1.690,
2002-06,1.762,
2002-07,2.042,
2002-08,1.899,
2002-09,1.706,
2002-10,2.003,
2002-11,1.299,
2002-12,1.160,
2003-01,1.202,
2003-02,1.225,
2003-03,1.382,
2003-04,1.514,
2003-05,1.338,
2003-06,1.310,
2003-07,1.794,
2003-08,1.490,
2003-09,1.457,
2003-10,1.561,
2003-11,0.677,
2003-12,0.684,
2004-01,0.684,
2004-02,0.970,
2004-03,0.723,
2004-04,0.747,
2004-05,0.814,
2004-06,0.830,
2004-07,0.851,
2004-08,0.850,
2004-09,0.918,
2004-10,0.878,
2004-11,0.869,
2004-12,0.832,
2005-01,0.889,
2005-02,0.883,
2005-03,0.902,
2005-04,0.889,
2005-05,0.878,
2005-06,0.852,
2005-07,0.956,
2005-08,0.955,
2005-09,0.963,
2005-10,0.989,
2005-11,0.936,
2005-12,0.880,
2006-01,0.890,
2006-02,0.897,
2006-03,0.945,
2006-04,0.986,
2006-05,0.932,
2006-06,0.908,
2006-07,0.966,
2006-08,0.983,
2006-09,0.934,
2006-10,1.001,
2006-11,0.974,
2006-12,0.925,
2007-01,1.022,
2007-02,0.986,
2007-03,1.002,
2007-04,1.075,
2007-05,1.090,
2007-06,1.091,
2007-07,1.129,
2007-08,1.129,
2007-09,1.073,
2007-10,1.207,
2007-11,1.270,
2007-12,1.210,
2008-01,1.291,
2008-02,1.269,
2008-03,1.233,
2008-04,1.355,
2008-05,1.380,
2008-06,1.327,
2008-07,1.427,
2008-08,1.431,
2008-09,1.487,
2008-10,1.580,
2008-11,1.609,
2008-12,1.468,
2009-01,1.512,
2009-02,1.517,
2009-03,1.531,
2009-04,1.530,
2009-05,1.645,
2009-06,1.652,
2009-07,1.662,
2009-08,1.696,
2009-09,1.687,
2009-10,1.897,
2009-11,1.894,
2009-12,1.774,
2010-01,1.794,
2010-02,1.786,
2010-03,1.775,
2010-04,1.790,
2010-05,1.850,
2010-06,1.866,
2010-07,1.873,
2010-08,1.923,
2010-09,1.970,
2010-10,2.068,
2010-11,2.103,
2010-12,2.064,
2011-01,3.844,
2011-02,3.844,
2011-03,3.868,
2011-04,3.918,
2011-05,3.918,
2011-06,3.922,
2011-07,4.074,
2011-08,4.109,
2011-09,4.038,
2011-10,4.003,
2011-11,3.930,
2011-12,3.916,
2012-01,3.921,
2012-02,3.881,
2012-03,3.816,
2012-04,3.867,
2012-05,3.958,
2012-06,4.110,
2012-07,4.434,
2012-08,5.205,
2012-09,5.354,
2012-10,5.111,
2012-11,5.111,
2012-12,5.025,
2013-01,5.097,
2013-02,5.083,
2013-03,5.126,
2013-04,5.182,
2013-05,5.452,
2013-06,5.315,
2013-07,4.430,
2013-08,3.342,
2013-09,4.351,
2013-10,4.625,
2013-11,4.605,
2013-12,4.787,
2014-01,4.498,
2014-02,4.381,
2014-03,4.439,
2014-04,4.416,
2014-05,4.829,
2014-06,4.705,
2014-07,4.745,
2014-08,4.741,
2014-09,4.400,
2014-10,4.750,
2014-11,4.679,
2014-12,4.614,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
