"",BBK01.OEXI09V,BBK01.OEXI09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:25,
2002-01,0.595,
2002-04,0.557,
2002-07,0.575,
2002-10,0.551,
2003-01,0.500,
2003-04,0.451,
2003-07,0.412,
2003-10,0.388,
2004-01,0.374,
2004-04,0.346,
2004-07,0.320,
2004-10,0.309,
2005-01,0.332,
2005-04,0.309,
2005-07,0.244,
2005-10,0.238,
2006-01,0.238,
2006-04,0.265,
2006-07,0.282,
2006-10,0.332,
2007-01,0.530,
2007-04,0.606,
2007-07,0.694,
2007-10,0.846,
2008-01,0.924,
2008-04,0.983,
2008-07,1.040,
2008-10,1.388,
2009-01,1.323,
2009-04,1.278,
2009-07,1.260,
2009-10,1.067,
2010-01,0.898,
2010-04,0.866,
2010-07,0.844,
2010-10,1.013,
2011-01,1.160,
2011-04,1.197,
2011-07,1.210,
2011-10,1.187,
2012-01,1.121,
2012-04,1.116,
2012-07,1.055,
2012-10,0.916,
2013-01,0.785,
2013-04,0.691,
2013-07,0.651,
2013-10,0.605,
2014-01,0.594,
2014-04,0.571,
2014-07,0.684,
