"",BBK01.OEAH09G,BBK01.OEAH09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:08,
2002-01,2.864,
2002-04,2.857,
2002-07,2.856,
2002-10,2.914,
2003-01,2.887,
2003-04,2.825,
2003-07,2.732,
2003-10,2.729,
2004-01,2.340,
2004-04,2.092,
2004-07,1.972,
2004-10,2.042,
2005-01,1.955,
2005-04,2.147,
2005-07,2.137,
2005-10,2.458,
2006-01,2.727,
2006-04,3.048,
2006-07,3.499,
2006-10,4.222,
2007-01,4.837,
2007-04,5.704,
2007-07,6.615,
2007-10,8.005,
2008-01,8.876,
2008-04,9.852,
2008-07,10.570,
2008-10,12.792,
2009-01,12.441,
2009-04,10.659,
2009-07,8.780,
2009-10,6.893,
2010-01,5.510,
2010-04,4.865,
2010-07,4.653,
2010-10,4.775,
2011-01,4.607,
2011-04,4.746,
2011-07,4.907,
2011-10,5.636,
2012-01,5.451,
2012-04,5.250,
2012-07,4.832,
2012-10,4.616,
2013-01,3.858,
2013-04,3.270,
2013-07,3.044,
2013-10,3.128,
2014-01,2.773,
2014-04,2.464,
2014-07,2.168,
