"",BBK01.OEAH18J,BBK01.OEAH18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:01,
2002-01,2.492,
2002-04,2.403,
2002-07,2.159,
2002-10,2.097,
2003-01,2.029,
2003-04,2.110,
2003-07,1.970,
2003-10,1.823,
2004-01,2.003,
2004-04,1.961,
2004-07,2.000,
2004-10,1.726,
2005-01,2.129,
2005-04,2.182,
2005-07,2.217,
2005-10,2.703,
2006-01,2.408,
2006-04,2.513,
2006-07,2.517,
2006-10,2.285,
2007-01,2.234,
2007-04,2.438,
2007-07,3.142,
2007-10,3.293,
2008-01,3.300,
2008-04,4.094,
2008-07,4.346,
2008-10,4.409,
2009-01,3.639,
2009-04,3.233,
2009-07,2.927,
2009-10,2.766,
2010-01,2.976,
2010-04,3.094,
2010-07,2.896,
2010-10,2.851,
2011-01,2.802,
2011-04,2.871,
2011-07,2.941,
2011-10,3.055,
2012-01,3.338,
2012-04,2.947,
2012-07,2.559,
2012-10,2.527,
2013-01,2.605,
2013-04,2.516,
2013-07,2.360,
2013-10,2.160,
2014-01,2.805,
2014-04,2.744,
2014-07,2.693,
