"",BBK01.QUX080,BBK01.QUX080_FLAGS
"",All foreign subsidiaries: Short-term loans and advances to foreign banks / Belgium / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:14:20,
2001-12,2.672,
2002-01,2.332,
2002-02,3.718,
2002-03,1.657,
2002-04,1.766,
2002-05,2.325,
2002-06,1.322,
2002-07,1.976,
2002-08,2.311,
2002-09,2.015,
2002-10,1.242,
2002-11,1.182,
2002-12,0.497,
2003-01,0.962,
2003-02,1.097,
2003-03,0.467,
2003-04,1.377,
2003-05,1.046,
2003-06,1.142,
2003-07,2.417,
2003-08,1.524,
2003-09,1.533,
2003-10,1.727,
2003-11,2.490,
2003-12,1.652,
2004-01,1.436,
2004-02,2.109,
2004-03,1.537,
2004-04,2.502,
2004-05,2.059,
2004-06,1.925,
2004-07,2.217,
2004-08,2.679,
2004-09,2.826,
2004-10,1.941,
2004-11,2.129,
2004-12,3.414,
2005-01,3.913,
2005-02,3.989,
2005-03,3.613,
2005-04,3.083,
2005-05,3.072,
2005-06,4.763,
2005-07,3.613,
2005-08,2.925,
2005-09,3.299,
2005-10,2.322,
2005-11,3.012,
2005-12,3.564,
2006-01,3.814,
2006-02,3.207,
2006-03,3.734,
2006-04,2.062,
2006-05,2.560,
2006-06,2.788,
2006-07,2.588,
2006-08,2.940,
2006-09,1.894,
2006-10,2.400,
2006-11,1.005,
2006-12,3.946,
2007-01,1.886,
2007-02,0.834,
2007-03,1.978,
2007-04,1.578,
2007-05,2.108,
2007-06,1.262,
2007-07,1.271,
2007-08,1.566,
2007-09,0.949,
2007-10,1.802,
2007-11,1.231,
2007-12,0.803,
2008-01,1.424,
2008-02,0.815,
2008-03,1.350,
2008-04,1.194,
2008-05,0.772,
2008-06,0.565,
2008-07,0.669,
2008-08,0.830,
2008-09,0.727,
2008-10,0.840,
2008-11,0.598,
2008-12,1.226,
2009-01,1.091,
2009-02,1.284,
2009-03,0.413,
2009-04,1.149,
2009-05,1.055,
2009-06,0.889,
2009-07,0.770,
2009-08,0.584,
2009-09,1.466,
2009-10,0.951,
2009-11,0.522,
2009-12,0.076,
2010-01,0.489,
2010-02,0.880,
2010-03,0.283,
2010-04,0.391,
2010-05,0.443,
2010-06,0.464,
2010-07,0.619,
2010-08,0.544,
2010-09,0.340,
2010-10,0.772,
2010-11,0.427,
2010-12,0.282,
2011-01,0.388,
2011-02,0.511,
2011-03,0.490,
2011-04,0.485,
2011-05,0.707,
2011-06,0.177,
2011-07,0.432,
2011-08,0.540,
2011-09,0.247,
2011-10,0.259,
2011-11,0.442,
2011-12,0.110,
2012-01,0.205,
2012-02,0.136,
2012-03,0.114,
2012-04,0.170,
2012-05,0.131,
2012-06,0.315,
2012-07,0.309,
2012-08,0.169,
2012-09,0.183,
2012-10,0.145,
2012-11,0.150,
2012-12,0.156,
2013-01,0.121,
2013-02,0.108,
2013-03,0.085,
2013-04,0.179,
2013-05,0.109,
2013-06,0.107,
2013-07,0.061,
2013-08,0.049,
2013-09,0.163,
2013-10,0.102,
2013-11,0.050,
2013-12,0.069,
2014-01,0.041,
2014-02,0.136,
2014-03,0.114,
2014-04,0.088,
2014-05,0.120,
2014-06,0.084,
2014-07,0.035,
2014-08,0.143,
2014-09,0.063,
2014-10,0.120,
2014-11,0.087,
