"",BBK01.OEBI09R,BBK01.OEBI09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:10,
2002-01,0.316,
2002-04,0.290,
2002-07,0.318,
2002-10,0.304,
2003-01,0.268,
2003-04,0.234,
2003-07,0.216,
2003-10,0.210,
2004-01,0.201,
2004-04,0.181,
2004-07,0.167,
2004-10,0.162,
2005-01,0.175,
2005-04,0.169,
2005-07,0.146,
2005-10,0.147,
2006-01,0.159,
2006-04,0.174,
2006-07,0.193,
2006-10,0.220,
2007-01,0.315,
2007-04,0.344,
2007-07,0.382,
2007-10,0.440,
2008-01,0.482,
2008-04,0.511,
2008-07,0.545,
2008-10,0.687,
2009-01,0.660,
2009-04,0.637,
2009-07,0.622,
2009-10,0.531,
2010-01,0.447,
2010-04,0.429,
2010-07,0.411,
2010-10,0.467,
2011-01,0.535,
2011-04,0.555,
2011-07,0.568,
2011-10,0.565,
2012-01,0.539,
2012-04,0.535,
2012-07,0.510,
2012-10,0.453,
2013-01,0.395,
2013-04,0.354,
2013-07,0.334,
2013-10,0.323,
2014-01,0.312,
2014-04,0.300,
2014-07,0.349,
