"",BBFB1.Q.N.DE.NL.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:13,
1991-01,134.946,
1991-04,140.852,
1991-07,134.581,
1991-10,150.745,
1992-01,208.813,
1992-04,192.508,
1992-07,221.758,
1992-10,230.073,
1993-01,217.895,
1993-04,239.480,
1993-07,239.907,
1993-10,262.353,
1994-01,357.221,
1994-04,335.975,
1994-07,374.883,
1994-10,351.221,
1995-01,428.487,
1995-04,415.894,
1995-07,425.659,
1995-10,441.163,
1996-01,271.244,
1996-04,262.718,
1996-07,292.382,
1996-10,345.332,
1997-01,304.210,
1997-04,322.854,
1997-07,310.726,
1997-10,314.428,
1998-01,404.639,
1998-04,409.012,
1998-07,443.959,
1998-10,457.905,
1999-01,329.094,
1999-04,378.821,
1999-07,367.868,
1999-10,369.189,
2000-01,443.230,
2000-04,505.549,
2000-07,522.549,
2000-10,555.975,
2001-01,214.094,
2001-04,307.581,
2001-07,271.735,
2001-10,267.167,
2002-01,330.318,
2002-04,358.150,
2002-07,350.031,
2002-10,332.760,
2003-01,421.833,
2003-04,482.879,
2003-07,454.384,
2003-10,411.755,
2004-01,374.819,
2004-04,456.574,
2004-07,427.479,
2004-10,399.035,
2005-01,384.318,
2005-04,437.985,
2005-07,402.929,
2005-10,368.492,
2006-01,660.056,
2006-04,705.922,
2006-07,660.972,
2006-10,640.703,
2007-01,557.174,
2007-04,572.696,
2007-07,688.012,
2007-10,578.170,
2008-01,523.733,
2008-04,558.299,
2008-07,554.941,
2008-10,545.904,
2009-01,477.994,
2009-04,525.704,
2009-07,501.485,
2009-10,537.994,
2010-01,664.465,
2010-04,731.318,
2010-07,723.496,
2010-10,731.697,
2011-01,548.551,
2011-04,571.736,
2011-07,511.010,
2011-10,546.063,
2012-01,739.385,
2012-04,813.119,
2012-07,719.566,
2012-10,799.495,
2013-01,665.108,
2013-04,689.379,
2013-07,594.308,
2013-10,616.350,
2014-01,575.817,Provisional value
2014-04,657.241,Provisional value
2014-07,597.064,Provisional value
