"",BBK01.OEBB01H,BBK01.OEBB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:40,
2002-01,211.480,
2002-04,209.282,
2002-07,207.042,
2002-10,202.821,
2003-01,200.090,
2003-04,196.385,
2003-07,193.475,
2003-10,189.150,
2004-01,182.839,
2004-04,182.778,
2004-07,180.814,
2004-10,175.019,
2005-01,182.109,
2005-04,180.748,
2005-07,180.854,
2005-10,176.734,
2006-01,180.415,
2006-04,174.405,
2006-07,176.678,
2006-10,171.121,
2007-01,181.409,
2007-04,174.645,
2007-07,174.156,
2007-10,164.267,
2008-01,171.068,
2008-04,179.294,
2008-07,178.656,
2008-10,159.693,
2009-01,157.388,
2009-04,128.912,
2009-07,126.209,
2009-10,120.743,
2010-01,118.896,
2010-04,120.648,
2010-07,118.948,
2010-10,117.288,
2011-01,114.784,
2011-04,119.601,
2011-07,129.572,
2011-10,129.121,
2012-01,132.957,
2012-04,128.661,
2012-07,134.547,
2012-10,126.841,
2013-01,132.900,
2013-04,130.387,
2013-07,117.580,
2013-10,114.453,
2014-01,112.649,
2014-04,115.492,
2014-07,117.100,
