"",BBSF2.M.1.S.I0015.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:49,
1993-04,9,
1993-05,-2,
1993-06,8,
1993-07,77,
1993-08,-9,
1993-09,39,
1993-10,-7,
1993-11,32,
1993-12,50,
1994-01,183,
1994-02,28,
1994-03,34,
1994-04,40,
1994-05,9,
1994-06,36,
1994-07,14,
1994-08,2,
1994-09,1,
1994-10,26,
1994-11,13,
1994-12,171,
1995-01,75,
1995-02,45,
1995-03,20,
1995-04,16,
1995-05,5,
1995-06,4,
1995-07,-5,
1995-08,31,
1995-09,63,
1995-10,21,
1995-11,22,
1995-12,124,
1996-01,53,
1996-02,61,
1996-03,52,
1996-04,25,
1996-05,3,
1996-06,67,
1996-07,330,
1996-08,87,
1996-09,50,
1996-10,91,
1996-11,47,
1996-12,170,
1997-01,146,
1997-02,220,
1997-03,57,
1997-04,32,
1997-05,4,
1997-06,23,
1997-07,71,
1997-08,66,
1997-09,185,
1997-10,13,
1997-11,49,
1997-12,165,
1998-01,218,
1998-02,129,
1998-03,166,
1998-04,98,
1998-05,36,
1998-06,87,
1998-07,213,
1998-08,347,
1998-09,204,
1998-10,157,
1998-11,59,
1998-12,302,
1999-01,223,
1999-02,169,
1999-03,183,
1999-04,116,
1999-05,166,
1999-06,106,
1999-07,336,
1999-08,130,
1999-09,73,
1999-10,80,
1999-11,14,
1999-12,447,
2000-01,411,
2000-02,257,
2000-03,60,
2000-04,151,
2000-05,74,
2000-06,169,
2000-07,263,
2000-08,205,
2000-09,180,
2000-10,96,
2000-11,75,
2000-12,240,
2001-01,107,
2001-02,635,
2001-03,258,
2001-04,123,
2001-05,219,
2001-06,119,
2001-07,684,
2001-08,-35,
2001-09,48,
2001-10,160,
2001-11,348,
2001-12,88,
2002-01,239,
2002-02,52,
2002-03,119,
2002-04,420,
2002-05,6,
2002-06,-50,
2002-07,-27,
2002-08,148,
2002-09,101,
2002-10,-33,
2002-11,107,
2002-12,358,
2003-01,119,
2003-02,97,
2003-03,1667,
2003-04,35,
2003-05,31,
2003-06,-66,
2003-07,18,
2003-08,-3,
2003-09,27,
2003-10,296,
2003-11,-368,
2003-12,633,
2004-01,-19,
2004-02,261,
2004-03,-71,
2004-04,-22,
2004-05,7,
2004-06,-118,
2004-07,45,
2004-08,50,
2004-09,-79,
2004-10,-732,
2004-11,-242,
2004-12,334,
2005-01,35,
2005-02,36,
2005-03,188,
2005-04,-245,
2005-05,-92,
2005-06,-13,
2005-07,20,
2005-08,192,
2005-09,-1659,
2005-10,9,
2005-11,-31,
2005-12,147,
2006-01,-310,
2006-02,34,
2006-03,169,
2006-04,-7,
2006-05,186,
2006-06,122,
2006-07,-240,
2006-08,12,
2006-09,-56,
2006-10,4,
2006-11,-75,
2006-12,170,
2007-01,-45,
2007-02,-126,
2007-03,86,
2007-04,148,
2007-05,-38,
2007-06,61,
2007-07,73,
2007-08,68,
2007-09,-217,
2007-10,-257,
2007-11,-62,
2007-12,185,
2008-01,-1408,
2008-02,165,
2008-03,443,
2008-04,137,
2008-05,-15,
2008-06,49,
2008-07,67,
2008-08,-88,
2008-09,-102,
2008-10,-47,
2008-11,57,
2008-12,-143,
2009-01,-313,
2009-02,-4,
2009-03,87,
2009-04,78,
2009-05,86,
2009-06,-276,
2009-07,-680,
2009-08,-219,
2009-09,450,
2009-10,281,
2009-11,-71,
2009-12,-48,
2010-01,44,
2010-02,39,
2010-03,146,
2010-04,755,
2010-05,96,
2010-06,2,
2010-07,-60,
2010-08,41,
2010-09,-257,
2010-10,-33,
2010-11,-77,
2010-12,266,
2011-01,174,
2011-02,-11,
2011-03,232,
2011-04,63,
2011-05,2,
2011-06,30,
2011-07,9,
2011-08,-170,
2011-09,302,
2011-10,22,
2011-11,17,
2011-12,104,
2012-01,115,
2012-02,116,
2012-03,-159,
2012-04,-173,
2012-05,-74,
2012-06,59,
2012-07,-144,
2012-08,-137,
2012-09,114,
2012-10,51,
2012-11,-66,
2012-12,138,
2013-01,1324,
2013-02,137,
2013-03,264,
2013-04,51,
2013-05,364,
2013-06,828,
2013-07,641,
2013-08,-91,
2013-09,27,
2013-10,171,
2013-11,330,
2013-12,527,
2014-01,129,
2014-02,90,
2014-03,-17,
2014-04,-47,
2014-05,33,
2014-06,92,
2014-07,94,
2014-08,-17,
2014-09,220,
2014-10,98,
2014-11,-68,
