"",BBEX3.M.CVE.EUR.CA.AC.A01,BBEX3.M.CVE.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Cabo Verde / EUR 1 = CVE ... (buying and selling),
unit,CVE (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:55,
1999-01,110.265,
1999-02,110.265,
1999-03,110.265,
1999-04,110.265,
1999-05,110.265,
1999-06,110.265,
1999-07,110.265,
1999-08,110.265,
1999-09,110.265,
1999-10,110.265,
1999-11,110.265,
1999-12,110.265,
2000-01,110.265,
2000-02,110.265,
2000-03,110.265,
2000-04,110.265,
2000-05,110.265,
2000-06,110.265,
2000-07,110.265,
2000-08,110.265,
2000-09,110.265,
2000-10,110.265,
2000-11,110.265,
2000-12,110.265,
2001-01,110.265,
2001-02,110.265,
2001-03,110.265,
2001-04,110.265,
2001-05,110.265,
2001-06,110.265,
2001-07,110.265,
2001-08,110.265,
2001-09,110.265,
2001-10,110.265,
2001-11,110.265,
2001-12,110.265,
2002-01,110.265,
2002-02,110.265,
2002-03,110.265,
2002-04,110.265,
2002-05,110.265,
2002-06,110.265,
2002-07,110.265,
2002-08,110.265,
2002-09,110.265,
2002-10,110.265,
2002-11,110.265,
2002-12,110.265,
2003-01,110.265,
2003-02,110.265,
2003-03,110.265,
2003-04,110.265,
2003-05,110.265,
2003-06,110.265,
2003-07,110.265,
2003-08,110.265,
2003-09,110.265,
2003-10,110.265,
2003-11,110.265,
2003-12,110.265,
2004-01,110.265,
2004-02,110.265,
2004-03,110.265,
2004-04,110.265,
2004-05,110.265,
2004-06,110.265,
2004-07,110.265,
2004-08,110.265,
2004-09,110.265,
2004-10,110.265,
2004-11,110.265,
2004-12,110.265,
2005-01,110.265,
2005-02,110.265,
2005-03,110.265,
2005-04,110.265,
2005-05,110.265,
2005-06,110.265,
2005-07,110.265,
2005-08,110.265,
2005-09,110.265,
2005-10,110.265,
2005-11,110.265,
2005-12,110.265,
2006-01,110.265,
2006-02,110.265,
2006-03,110.265,
2006-04,110.265,
2006-05,110.265,
2006-06,110.265,
2006-07,110.265,
2006-08,110.265,
2006-09,110.265,
2006-10,110.265,
2006-11,110.265,
2006-12,110.265,
2007-01,110.265,
2007-02,110.265,
2007-03,110.265,
2007-04,110.265,
2007-05,110.265,
2007-06,110.265,
2007-07,110.265,
2007-08,110.265,
2007-09,110.265,
2007-10,110.265,
2007-11,110.265,
2007-12,110.265,
2008-01,110.265,
2008-02,110.265,
2008-03,110.265,
2008-04,110.265,
2008-05,110.265,
2008-06,110.265,
2008-07,110.265,
2008-08,110.265,
2008-09,110.265,
2008-10,110.265,
2008-11,110.265,
2008-12,110.265,
2009-01,110.265,
2009-02,110.265,
2009-03,110.265,
2009-04,110.265,
2009-05,110.265,
2009-06,110.265,
2009-07,110.265,
2009-08,110.265,
2009-09,110.265,
2009-10,110.265,
2009-11,110.265,
2009-12,110.265,
2010-01,110.265,
2010-02,110.265,
2010-03,110.265,
2010-04,110.265,
2010-05,110.265,
2010-06,110.265,
2010-07,110.265,
2010-08,110.265,
2010-09,110.265,
2010-10,110.265,
2010-11,110.265,
2010-12,110.265,
2011-01,110.265,
2011-02,110.265,
2011-03,110.265,
2011-04,110.265,
2011-05,110.265,
2011-06,110.265,
2011-07,110.265,
2011-08,110.265,
2011-09,110.265,
2011-10,110.265,
2011-11,110.265,
2011-12,110.265,
2012-01,110.265,
2012-02,110.265,
2012-03,110.265,
2012-04,110.265,
2012-05,110.265,
2012-06,110.265,
2012-07,110.265,
2012-08,110.265,
2012-09,110.265,
2012-10,110.265,
2012-11,110.265,
2012-12,110.265,
2013-01,110.265,
2013-02,110.265,
2013-03,110.265,
2013-04,110.265,
2013-05,110.265,
2013-06,110.265,
2013-07,110.265,
2013-08,110.265,
2013-09,110.265,
2013-10,110.265,
2013-11,110.265,
2013-12,110.265,
2014-01,110.265,
2014-02,110.265,
2014-03,110.265,
2014-04,110.265,
2014-05,110.265,
2014-06,110.265,
2014-07,110.265,
2014-08,110.265,
2014-09,110.265,
2014-10,110.265,
2014-11,110.265,
2014-12,110.265,
2015-01,110.265,
"",General: The Cabo Verde escudo is pegged to the euro.,
"","Source: Banco de Cabo Verde, Praia.",
