"",BBK01.OEAH24U,BBK01.OEAH24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:19,
2002-01,1.624,
2002-04,1.670,
2002-07,1.709,
2002-10,1.752,
2003-01,1.737,
2003-04,1.704,
2003-07,1.665,
2003-10,1.690,
2004-01,1.727,
2004-04,1.707,
2004-07,1.680,
2004-10,1.679,
2005-01,1.660,
2005-04,1.613,
2005-07,1.545,
2005-10,1.526,
2006-01,1.466,
2006-04,1.438,
2006-07,1.424,
2006-10,1.332,
2007-01,1.255,
2007-04,1.228,
2007-07,1.211,
2007-10,1.163,
2008-01,1.136,
2008-04,1.120,
2008-07,1.111,
2008-10,1.048,
2009-01,1.000,
2009-04,0.976,
2009-07,0.990,
2009-10,1.040,
2010-01,1.122,
2010-04,1.126,
2010-07,1.127,
2010-10,1.122,
2011-01,1.106,
2011-04,1.143,
2011-07,1.146,
2011-10,1.142,
2012-01,1.134,
2012-04,1.096,
2012-07,1.083,
2012-10,1.047,
2013-01,1.021,
2013-04,0.985,
2013-07,0.978,
2013-10,1.017,
2014-01,0.998,
2014-04,1.015,
2014-07,1.001,
