"",BBEE1.D.I8.AAA.XZE012.A.AABAN.M00,BBEE1.D.I8.AAA.XZE012.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-19 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:24,
1993-01-04,95.7260,
1993-01-05,95.5179,
1993-01-06,.,No value available
1993-01-07,95.3716,
1993-01-08,95.4095,
1993-01-09,.,No value available
1993-01-10,.,No value available
1993-01-11,95.7952,
1993-01-12,96.2203,
1993-01-13,96.0324,
1993-01-14,96.2713,
1993-01-15,96.3256,
1993-01-16,.,No value available
1993-01-17,.,No value available
1993-01-18,.,No value available
1993-01-19,96.7567,
1993-01-20,97.1979,
1993-01-21,97.0681,
1993-01-22,.,No value available
1993-01-23,.,No value available
1993-01-24,.,No value available
1993-01-25,98.1962,
1993-01-26,98.5106,
1993-01-27,98.3266,
1993-01-28,98.3663,
1993-01-29,97.8990,
1993-01-30,.,No value available
1993-01-31,.,No value available
1993-02-01,97.0174,
1993-02-02,96.8015,
1993-02-03,96.6992,
1993-02-04,96.0620,
1993-02-05,95.7953,
1993-02-06,.,No value available
1993-02-07,.,No value available
1993-02-08,96.2516,
1993-02-09,96.1123,
1993-02-10,96.1156,
1993-02-11,95.6185,
1993-02-12,96.0302,
1993-02-13,.,No value available
1993-02-14,.,No value available
1993-02-15,.,No value available
1993-02-16,96.0357,
1993-02-17,96.3846,
1993-02-18,95.9545,
1993-02-19,95.8827,
1993-02-20,.,No value available
1993-02-21,.,No value available
1993-02-22,95.7875,
1993-02-23,95.8424,
1993-02-24,96.3146,
1993-02-25,96.2804,
1993-02-26,95.8482,
1993-02-27,.,No value available
1993-02-28,.,No value available
1993-03-01,95.6417,
1993-03-02,95.8871,
1993-03-03,95.6291,
1993-03-04,95.7316,
1993-03-05,95.2403,
1993-03-06,.,No value available
1993-03-07,.,No value available
1993-03-08,94.8285,
1993-03-09,94.7011,
1993-03-10,94.6236,
1993-03-11,94.6005,
1993-03-12,94.7898,
1993-03-13,.,No value available
1993-03-14,.,No value available
1993-03-15,94.8521,
1993-03-16,94.7737,
1993-03-17,94.5628,
1993-03-18,94.4618,
1993-03-19,95.0614,
1993-03-20,.,No value available
1993-03-21,.,No value available
1993-03-22,94.9916,
1993-03-23,95.3772,
1993-03-24,95.5565,
1993-03-25,95.3357,
1993-03-26,95.2321,
1993-03-27,.,No value available
1993-03-28,.,No value available
1993-03-29,95.4090,
1993-03-30,95.3822,
1993-03-31,95.8303,
1993-04-01,95.7006,
1993-04-02,95.9600,
1993-04-03,.,No value available
1993-04-04,.,No value available
1993-04-05,96.0104,
1993-04-06,95.8792,
1993-04-07,95.7039,
1993-04-08,95.5772,
1993-04-09,.,No value available
1993-04-10,.,No value available
1993-04-11,.,No value available
1993-04-12,.,No value available
1993-04-13,96.3361,
1993-04-14,96.3828,
1993-04-15,95.8231,
1993-04-16,95.7745,
1993-04-17,.,No value available
1993-04-18,.,No value available
1993-04-19,95.6060,
1993-04-20,96.1399,
1993-04-21,95.7048,
1993-04-22,95.6456,
1993-04-23,95.8874,
1993-04-24,.,No value available
1993-04-25,.,No value available
1993-04-26,96.6378,
1993-04-27,96.3106,
1993-04-28,96.3797,
1993-04-29,96.8409,
1993-04-30,96.6216,
1993-05-01,.,No value available
1993-05-02,.,No value available
1993-05-03,96.4466,
1993-05-04,96.9665,
1993-05-05,.,No value available
1993-05-06,96.7777,
1993-05-07,96.8846,
1993-05-08,.,No value available
1993-05-09,.,No value available
1993-05-10,96.5412,
1993-05-11,96.0070,
1993-05-12,96.1373,
1993-05-13,95.7742,
1993-05-14,96.0317,
1993-05-15,.,No value available
1993-05-16,.,No value available
1993-05-17,96.0611,
1993-05-18,95.5774,
1993-05-19,95.5662,
1993-05-20,.,No value available
1993-05-21,95.2161,
1993-05-22,.,No value available
1993-05-23,.,No value available
1993-05-24,94.7967,
1993-05-25,94.8881,
1993-05-26,94.7716,
1993-05-27,94.8970,
1993-05-28,95.6968,
1993-05-29,.,No value available
1993-05-30,.,No value available
1993-05-31,.,No value available
1993-06-01,95.8252,
1993-06-02,96.0276,
1993-06-03,95.8855,
1993-06-04,95.8434,
1993-06-05,.,No value available
1993-06-06,.,No value available
1993-06-07,95.3479,
1993-06-08,95.4096,
1993-06-09,95.0242,
1993-06-10,94.8223,
1993-06-11,94.8146,
1993-06-12,.,No value available
1993-06-13,.,No value available
1993-06-14,95.1081,
1993-06-15,95.0468,
1993-06-16,94.5052,
1993-06-17,94.2239,
1993-06-18,94.0041,
1993-06-19,.,No value available
1993-06-20,.,No value available
1993-06-21,93.8363,
1993-06-22,.,No value available
1993-06-23,93.4496,
1993-06-24,93.0973,
1993-06-25,92.8675,
1993-06-26,.,No value available
1993-06-27,.,No value available
1993-06-28,92.4603,
1993-06-29,93.0916,
1993-06-30,92.9102,
1993-07-01,92.7528,
1993-07-02,92.9450,
1993-07-03,.,No value available
1993-07-04,.,No value available
1993-07-05,.,No value available
1993-07-06,92.7880,
1993-07-07,92.8019,
1993-07-08,92.7268,
1993-07-09,92.2645,
1993-07-10,.,No value available
1993-07-11,.,No value available
1993-07-12,91.9125,
1993-07-13,91.9706,
1993-07-14,91.6209,
1993-07-15,91.7545,
1993-07-16,91.6180,
1993-07-17,.,No value available
1993-07-18,.,No value available
1993-07-19,92.1980,
1993-07-20,92.1164,
1993-07-21,92.2133,
1993-07-22,91.7529,
1993-07-23,91.4104,
1993-07-24,.,No value available
1993-07-25,.,No value available
1993-07-26,91.0420,
1993-07-27,91.3704,
1993-07-28,91.3522,
1993-07-29,91.4260,
1993-07-30,90.2159,
1993-07-31,.,No value available
1993-08-01,.,No value available
1993-08-02,90.3791,
1993-08-03,90.9554,
1993-08-04,91.2903,
1993-08-05,91.0738,
1993-08-06,91.1607,
1993-08-07,.,No value available
1993-08-08,.,No value available
1993-08-09,91.4540,
1993-08-10,91.0455,
1993-08-11,90.9246,
1993-08-12,90.8942,
1993-08-13,90.9573,
1993-08-14,.,No value available
1993-08-15,.,No value available
1993-08-16,91.1379,
1993-08-17,91.5040,
1993-08-18,91.5755,
1993-08-19,91.6283,
1993-08-20,92.2457,
1993-08-21,.,No value available
1993-08-22,.,No value available
1993-08-23,92.1859,
1993-08-24,92.3618,
1993-08-25,92.4544,
1993-08-26,92.7060,
1993-08-27,92.8083,
1993-08-28,.,No value available
1993-08-29,.,No value available
1993-08-30,92.9064,
1993-08-31,93.0358,
1993-09-01,93.2742,
1993-09-02,93.5553,
1993-09-03,93.7561,
1993-09-04,.,No value available
1993-09-05,.,No value available
1993-09-06,.,No value available
1993-09-07,94.3544,
1993-09-08,94.3855,
1993-09-09,94.8876,
1993-09-10,95.1992,
1993-09-11,.,No value available
1993-09-12,.,No value available
1993-09-13,95.4361,
1993-09-14,95.1898,
1993-09-15,95.6952,
1993-09-16,95.5613,
1993-09-17,94.8115,
1993-09-18,.,No value available
1993-09-19,.,No value available
1993-09-20,94.8254,
1993-09-21,95.3743,
1993-09-22,94.6475,
1993-09-23,94.4907,
1993-09-24,93.9054,
1993-09-25,.,No value available
1993-09-26,.,No value available
1993-09-27,94.8279,
1993-09-28,94.7616,
1993-09-29,95.5104,
1993-09-30,94.8820,
1993-10-01,94.6025,
1993-10-02,.,No value available
1993-10-03,.,No value available
1993-10-04,94.9290,
1993-10-05,94.9129,
1993-10-06,94.7501,
1993-10-07,94.7649,
1993-10-08,95.1451,
1993-10-09,.,No value available
1993-10-10,.,No value available
1993-10-11,.,No value available
1993-10-12,95.7125,
1993-10-13,95.3685,
1993-10-14,95.1497,
1993-10-15,95.0451,
1993-10-16,.,No value available
1993-10-17,.,No value available
1993-10-18,94.9812,
1993-10-19,94.5961,
1993-10-20,94.3442,
1993-10-21,94.1953,
1993-10-22,93.9238,
1993-10-23,.,No value available
1993-10-24,.,No value available
1993-10-25,93.7858,
1993-10-26,93.4951,
1993-10-27,93.7109,
1993-10-28,93.2609,
1993-10-29,93.6376,
1993-10-30,.,No value available
1993-10-31,.,No value available
1993-11-01,.,No value available
1993-11-02,92.8946,
1993-11-03,93.0671,
1993-11-04,93.2077,
1993-11-05,92.9703,
1993-11-06,.,No value available
1993-11-07,.,No value available
1993-11-08,93.3193,
1993-11-09,93.2093,
1993-11-10,93.0199,
1993-11-11,.,No value available
1993-11-12,92.7582,
1993-11-13,.,No value available
1993-11-14,.,No value available
1993-11-15,92.8477,
1993-11-16,92.7151,
1993-11-17,92.4564,
1993-11-18,92.4543,
1993-11-19,92.4645,
1993-11-20,.,No value available
1993-11-21,.,No value available
1993-11-22,92.6080,
1993-11-23,92.5398,
1993-11-24,92.7364,
1993-11-25,.,No value available
1993-11-26,92.4145,
1993-11-27,.,No value available
1993-11-28,.,No value available
1993-11-29,92.4321,
1993-11-30,92.3994,
1993-12-01,92.1486,
1993-12-02,92.0321,
1993-12-03,91.8896,
1993-12-04,.,No value available
1993-12-05,.,No value available
1993-12-06,92.3976,
1993-12-07,92.6038,
1993-12-08,92.6779,
1993-12-09,92.6462,
1993-12-10,92.9761,
1993-12-11,.,No value available
1993-12-12,.,No value available
1993-12-13,92.8861,
1993-12-14,92.5429,
1993-12-15,92.5515,
1993-12-16,92.6173,
1993-12-17,92.7899,
1993-12-18,.,No value available
1993-12-19,.,No value available
1993-12-20,92.7543,
1993-12-21,93.0344,
1993-12-22,93.1888,
1993-12-23,93.3347,
1993-12-24,93.3680,
1993-12-25,.,No value available
1993-12-26,.,No value available
1993-12-27,93.0813,
1993-12-28,93.0835,
1993-12-29,92.5150,
1993-12-30,92.4151,
1993-12-31,92.2184,
1994-01-01,.,No value available
1994-01-02,.,No value available
1994-01-03,94.2133,
1994-01-04,94.2896,
1994-01-05,94.3448,
1994-01-06,94.1609,
1994-01-07,94.0602,
1994-01-08,.,No value available
1994-01-09,.,No value available
1994-01-10,94.1991,
1994-01-11,93.9713,
1994-01-12,93.9891,
1994-01-13,93.7318,
1994-01-14,93.3866,
1994-01-15,.,No value available
1994-01-16,.,No value available
1994-01-17,.,No value available
1994-01-18,93.4295,
1994-01-19,93.6016,
1994-01-20,93.6783,
1994-01-21,93.6623,
1994-01-22,.,No value available
1994-01-23,.,No value available
1994-01-24,93.4405,
1994-01-25,93.4897,
1994-01-26,93.5910,
1994-01-27,93.5959,
1994-01-28,93.8915,
1994-01-29,.,No value available
1994-01-30,.,No value available
1994-01-31,93.5768,
1994-02-01,93.8529,
1994-02-02,93.8966,
1994-02-03,93.7274,
1994-02-04,93.6318,
1994-02-05,.,No value available
1994-02-06,.,No value available
1994-02-07,93.1603,
1994-02-08,93.2880,
1994-02-09,93.4996,
1994-02-10,93.5870,
1994-02-11,93.7523,
1994-02-12,.,No value available
1994-02-13,.,No value available
1994-02-14,93.6023,
1994-02-15,93.9120,
1994-02-16,94.0696,
1994-02-17,94.0045,
1994-02-18,94.4404,
1994-02-19,.,No value available
1994-02-20,.,No value available
1994-02-21,.,No value available
1994-02-22,94.0467,
1994-02-23,94.1559,
1994-02-24,94.0328,
1994-02-25,94.4970,
1994-02-26,.,No value available
1994-02-27,.,No value available
1994-02-28,94.3743,
1994-03-01,94.8758,
1994-03-02,94.6364,
1994-03-03,94.4696,
1994-03-04,94.4436,
1994-03-05,.,No value available
1994-03-06,.,No value available
1994-03-07,94.2990,
1994-03-08,94.4198,
1994-03-09,94.6180,
1994-03-10,95.2588,
1994-03-11,95.5892,
1994-03-12,.,No value available
1994-03-13,.,No value available
1994-03-14,95.4297,
1994-03-15,95.2962,
1994-03-16,95.3677,
1994-03-17,95.7886,
1994-03-18,95.4941,
1994-03-19,.,No value available
1994-03-20,.,No value available
1994-03-21,95.3341,
1994-03-22,95.7128,
1994-03-23,95.6313,
1994-03-24,95.9612,
1994-03-25,96.4265,
1994-03-26,.,No value available
1994-03-27,.,No value available
1994-03-28,96.2193,
1994-03-29,96.3964,
1994-03-30,96.1736,
1994-03-31,96.4989,
1994-04-01,.,No value available
1994-04-02,.,No value available
1994-04-03,.,No value available
1994-04-04,.,No value available
1994-04-05,95.7350,
1994-04-06,95.0819,
1994-04-07,95.2499,
1994-04-08,95.3077,
1994-04-09,.,No value available
1994-04-10,.,No value available
1994-04-11,95.3117,
1994-04-12,94.9124,
1994-04-13,94.8790,
1994-04-14,95.2411,
1994-04-15,95.2425,
1994-04-16,.,No value available
1994-04-17,.,No value available
1994-04-18,95.1598,
1994-04-19,95.4832,
1994-04-20,95.6215,
1994-04-21,95.7381,
1994-04-22,95.7316,
1994-04-23,.,No value available
1994-04-24,.,No value available
1994-04-25,96.1862,
1994-04-26,96.0321,
1994-04-27,96.1621,
1994-04-28,96.1146,
1994-04-29,96.4918,
1994-04-30,.,No value available
1994-05-01,.,No value available
1994-05-02,96.7941,
1994-05-03,97.1136,
1994-05-04,96.8118,
1994-05-05,96.2167,
1994-05-06,96.4252,
1994-05-07,.,No value available
1994-05-08,.,No value available
1994-05-09,96.9375,
1994-05-10,96.6529,
1994-05-11,96.3327,
1994-05-12,.,No value available
1994-05-13,96.5812,
1994-05-14,.,No value available
1994-05-15,.,No value available
1994-05-16,96.3490,
1994-05-17,96.5189,
1994-05-18,96.6759,
1994-05-19,97.0431,
1994-05-20,97.2739,
1994-05-21,.,No value available
1994-05-22,.,No value available
1994-05-23,.,No value available
1994-05-24,97.3329,
1994-05-25,97.2291,
1994-05-26,97.4982,
1994-05-27,97.3947,
1994-05-28,.,No value available
1994-05-29,.,No value available
1994-05-30,.,No value available
1994-05-31,97.6286,
1994-06-01,97.4907,
1994-06-02,97.2716,
1994-06-03,96.8498,
1994-06-04,.,No value available
1994-06-05,.,No value available
1994-06-06,96.4765,
1994-06-07,96.5712,
1994-06-08,96.5155,
1994-06-09,96.4068,
1994-06-10,96.5941,
1994-06-11,.,No value available
1994-06-12,.,No value available
1994-06-13,97.0113,
1994-06-14,97.2553,
1994-06-15,97.2969,
1994-06-16,97.6743,
1994-06-17,97.5651,
1994-06-18,.,No value available
1994-06-19,.,No value available
1994-06-20,98.5842,
1994-06-21,98.4141,
1994-06-22,.,No value available
1994-06-23,98.3521,
1994-06-24,98.5413,
1994-06-25,.,No value available
1994-06-26,.,No value available
1994-06-27,98.9858,
1994-06-28,98.8021,
1994-06-29,98.8613,
1994-06-30,98.2846,
1994-07-01,98.2667,
1994-07-02,.,No value available
1994-07-03,.,No value available
1994-07-04,.,No value available
1994-07-05,98.8796,
1994-07-06,99.1443,
1994-07-07,99.2146,
1994-07-08,99.3130,
1994-07-09,.,No value available
1994-07-10,.,No value available
1994-07-11,100.2011,
1994-07-12,100.9287,
1994-07-13,100.8326,
1994-07-14,100.3221,
1994-07-15,99.8825,
1994-07-16,.,No value available
1994-07-17,.,No value available
1994-07-18,100.3210,
1994-07-19,99.8346,
1994-07-20,99.3751,
1994-07-21,99.7892,
1994-07-22,98.6016,
1994-07-23,.,No value available
1994-07-24,.,No value available
1994-07-25,98.7897,
1994-07-26,98.8562,
1994-07-27,99.1895,
1994-07-28,99.4458,
1994-07-29,98.8057,
1994-07-30,.,No value available
1994-07-31,.,No value available
1994-08-01,99.3076,
1994-08-02,99.0930,
1994-08-03,99.0644,
1994-08-04,99.3951,
1994-08-05,99.0775,
1994-08-06,.,No value available
1994-08-07,.,No value available
1994-08-08,99.3196,
1994-08-09,99.2656,
1994-08-10,99.6332,
1994-08-11,99.2391,
1994-08-12,100.0650,
1994-08-13,.,No value available
1994-08-14,.,No value available
1994-08-15,.,No value available
1994-08-16,100.0672,
1994-08-17,99.9473,
1994-08-18,100.4297,
1994-08-19,100.5572,
1994-08-20,.,No value available
1994-08-21,.,No value available
1994-08-22,100.6904,
1994-08-23,100.7543,
1994-08-24,100.3797,
1994-08-25,100.3659,
1994-08-26,100.3531,
1994-08-27,.,No value available
1994-08-28,.,No value available
1994-08-29,99.3514,
1994-08-30,99.1887,
1994-08-31,99.3208,
1994-09-01,99.2768,
1994-09-02,99.4745,
1994-09-03,.,No value available
1994-09-04,.,No value available
1994-09-05,.,No value available
1994-09-06,100.4694,
1994-09-07,100.1843,
1994-09-08,100.1607,
1994-09-09,99.8870,
1994-09-10,.,No value available
1994-09-11,.,No value available
1994-09-12,100.4485,
1994-09-13,100.1980,
1994-09-14,100.4054,
1994-09-15,100.1507,
1994-09-16,100.1404,
1994-09-17,.,No value available
1994-09-18,.,No value available
1994-09-19,99.9467,
1994-09-20,99.5591,
